['heinevik', 202590486, 'impression', '3', 241501817L, datetime.datetime(2013, 5, 28, 16, 0, 11), 0.182063166811418, False, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 16, 0, 11), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'hide', '3', 241501817L, datetime.datetime(2013, 5, 28, 16, 0, 25), 0.182063166811418, False, 'best']
['heinevik', 202590486, 'hide', '4', 241501839L, datetime.datetime(2013, 5, 28, 16, 0, 26), 0.131141056694559, False, 'best']
['heinevik', 202590486, 'hide', '5', 241502135L, datetime.datetime(2013, 5, 28, 16, 0, 27), 0.108353440320633, False, 'best']
['heinevik', 202590486, 'hide', '6', 241501791L, datetime.datetime(2013, 5, 28, 16, 0, 28), 0.0797527129694204, False, 'best']
['heinevik', 202590486, 'hide', '7', 241501241L, datetime.datetime(2013, 5, 28, 16, 0, 30), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 1, 15), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 16, 1, 15), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 4, 51), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 16, 4, 51), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '3', 241502652L, datetime.datetime(2013, 5, 28, 16, 11, 46), 0.18022622945087, False, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 16, 11, 46), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 11, 46), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '6', 241502771L, datetime.datetime(2013, 5, 28, 16, 11, 46), 0.0773966710194308, False, 'best']
['heinevik', 202590486, 'impression', '4', 241502260L, datetime.datetime(2013, 5, 28, 16, 11, 46), 0.102761736988981, False, 'best']
['heinevik', 202590486, 'impression', '5', 241502388L, datetime.datetime(2013, 5, 28, 16, 11, 46), 0.0821819095794539, False, 'best']
['heinevik', 202590486, 'hide', '3', 241502652L, datetime.datetime(2013, 5, 28, 16, 11, 48), 0.18022622945087, False, 'best']
['heinevik', 202590486, 'hide', '4', 241502260L, datetime.datetime(2013, 5, 28, 16, 11, 49), 0.102761736988981, False, 'best']
['heinevik', 202590486, 'hide', '5', 241502388L, datetime.datetime(2013, 5, 28, 16, 11, 50), 0.0821819095794539, False, 'best']
['heinevik', 202590486, 'hide', '6', 241502771L, datetime.datetime(2013, 5, 28, 16, 11, 51), 0.0773966710194308, False, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 16, 18, 8), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 18, 8), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '4', 241503375L, datetime.datetime(2013, 5, 28, 16, 18, 8), 0.0468409806961329, False, 'best']
['heinevik', 202590486, 'impression', '3', 241503434L, datetime.datetime(2013, 5, 28, 16, 18, 8), 0.114415390008007, False, 'best']
['heinevik', 202590486, 'hide', '4', 241503375L, datetime.datetime(2013, 5, 28, 16, 18, 13), 0.0468409806961329, False, 'best']
['heinevik', 202590486, 'hide', '3', 241503434L, datetime.datetime(2013, 5, 28, 16, 18, 13), 0.114415390008007, False, 'best']
['heinevik', 202590486, 'expand_tile', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 18, 18), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '2', 241503547L, datetime.datetime(2013, 5, 28, 16, 25, 48), 0.20144858834106, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 25, 48), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '5', 241504120L, datetime.datetime(2013, 5, 28, 16, 25, 48), 0.0330941307875697, False, 'best']
['heinevik', 202590486, 'impression', '4', 241504338L, datetime.datetime(2013, 5, 28, 16, 25, 48), 0.0346934855947317, False, 'best']
['heinevik', 202590486, 'impression', '3', 241501227L, datetime.datetime(2013, 5, 28, 16, 25, 48), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '5', 241504424L, datetime.datetime(2013, 5, 28, 16, 39, 29), 0.104733946667807, False, 'best']
['heinevik', 202590486, 'impression', '2', 241503547L, datetime.datetime(2013, 5, 28, 16, 39, 29), 0.20144858834106, False, 'best']
['heinevik', 202590486, 'impression', '4', 241505071L, datetime.datetime(2013, 5, 28, 16, 39, 29), 0.190286114627064, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 39, 29), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '6', 241504338L, datetime.datetime(2013, 5, 28, 16, 39, 29), 0.0346934855947317, False, 'best']
['heinevik', 202590486, 'impression', '3', 241501227L, datetime.datetime(2013, 5, 28, 16, 39, 29), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '7', 241504120L, datetime.datetime(2013, 5, 28, 16, 39, 29), 0.0330941307875697, False, 'best']
['heinevik', 202590486, 'hide', '2', 241503547L, datetime.datetime(2013, 5, 28, 16, 39, 31), 0.20144858834106, False, 'best']
['heinevik', 202590486, 'hide', '4', 241505071L, datetime.datetime(2013, 5, 28, 16, 39, 32), 0.190286114627064, False, 'best']
['heinevik', 202590486, 'hide', '5', 241504424L, datetime.datetime(2013, 5, 28, 16, 39, 33), 0.104733946667807, False, 'best']
['heinevik', 202590486, 'expand_tile', '3', 241501227L, datetime.datetime(2013, 5, 28, 16, 39, 34), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'hide', '6', 241504338L, datetime.datetime(2013, 5, 28, 16, 39, 34), 0.0346934855947317, False, 'best']
['heinevik', 202590486, 'collapse_tile', '3', 241501227L, datetime.datetime(2013, 5, 28, 16, 39, 35), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'hide', '7', 241504120L, datetime.datetime(2013, 5, 28, 16, 39, 36), 0.0330941307875697, False, 'best']
['heinevik', 202590486, 'expand_tile', '3', 241501227L, datetime.datetime(2013, 5, 28, 16, 39, 37), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'hire', '3', 241501227L, datetime.datetime(2013, 5, 28, 16, 39, 39), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 40, 23), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'expand_tile', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 40, 25), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'hire', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 40, 27), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 40, 55), 0.232960498460517, True, 'best']

['heinevik', 202590486, 'impression', '5', 241509100L, datetime.datetime(2013, 5, 28, 19, 4, 26), 0.139383802829096, False, 'best']
['heinevik', 202590486, 'impression', '3', 241517218L, datetime.datetime(2013, 5, 28, 19, 4, 26), 0.154527831312407, False, 'best']
['heinevik', 202590486, 'impression', '2', 241501367L, datetime.datetime(2013, 5, 28, 19, 4, 26), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '8', 241513350L, datetime.datetime(2013, 5, 28, 19, 4, 26), 0.101540649750766, False, 'best']
['heinevik', 202590486, 'impression', '6', 241506942L, datetime.datetime(2013, 5, 28, 19, 4, 26), 0.120768038064311, False, 'best']
['heinevik', 202590486, 'impression', '1', 241506605L, datetime.datetime(2013, 5, 28, 19, 4, 26), 0.241882567014381, False, 'best']
['heinevik', 202590486, 'impression', '7', 241509809L, datetime.datetime(2013, 5, 28, 19, 4, 26), 0.103961198813112, False, 'best']
['heinevik', 202590486, 'impression', '4', 241511914L, datetime.datetime(2013, 5, 28, 19, 4, 26), 0.147810545681926, False, 'best']
['heinevik', 202590486, 'impression', '9', 241507453L, datetime.datetime(2013, 5, 28, 19, 4, 26), 0.0500072165782287, False, 'best']
['heinevik', 202590486, 'impression', '8', 241513350L, datetime.datetime(2013, 5, 28, 19, 16, 50), 0.101540649750766, False, 'best']
['heinevik', 202590486, 'impression', '2', 241501367L, datetime.datetime(2013, 5, 28, 19, 16, 50), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '7', 241509809L, datetime.datetime(2013, 5, 28, 19, 16, 50), 0.103961198813112, False, 'best']
['heinevik', 202590486, 'impression', '1', 241506605L, datetime.datetime(2013, 5, 28, 19, 16, 50), 0.241882567014381, False, 'best']
