['ally_c', 202559141, 'impression', '17', 240857896L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.207913207076781, False, 'best']
['ally_c', 202559141, 'impression', '12', 240839993L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'impression', '14', 240847022L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.246615597250139, False, 'best']
['ally_c', 202559141, 'impression', '10', 240845994L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.323068615608153, False, 'best']
['ally_c', 202559141, 'impression', '16', 240845623L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.21278740526232, False, 'best']
['ally_c', 202559141, 'impression', '7', 240846237L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.334362810929603, False, 'best']
['ally_c', 202559141, 'impression', '13', 240874802L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.270912531687254, False, 'best']
['ally_c', 202559141, 'impression', '2', 240845580L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.494761300917376, True, 'best']
['ally_c', 202559141, 'hide', '1', 240857786L, datetime.datetime(2013, 5, 21, 0, 28, 53), 0.968251693701099, False, 'best']
['ally_c', 202559141, 'hide', '3', 240845643L, datetime.datetime(2013, 5, 21, 0, 29, 8), 0.428544453469284, False, 'best']
['ally_c', 202559141, 'hide', '4', 240853878L, datetime.datetime(2013, 5, 21, 0, 29, 11), 0.42638205584679, False, 'best']
['ally_c', 202559141, 'hide', '8', 240860043L, datetime.datetime(2013, 5, 21, 0, 29, 31), 0.326003332273078, False, 'best']
['ally_c', 202559141, 'hide', '9', 240874944L, datetime.datetime(2013, 5, 21, 0, 29, 32), 0.325681967254637, False, 'best']
['ally_c', 202559141, 'hide', '11', 240852102L, datetime.datetime(2013, 5, 21, 0, 30, 4), 0.298962298365227, False, 'best']
['ally_c', 202559141, 'hide', '13', 240874802L, datetime.datetime(2013, 5, 21, 0, 30, 6), 0.270912531687254, False, 'best']
['ally_c', 202559141, 'hide', '14', 240847022L, datetime.datetime(2013, 5, 21, 0, 30, 7), 0.246615597250139, False, 'best']
