['renasci', 202575267, 'impression', '16', 241166250L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'impression', '17', 241191618L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '11', 241222691L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '2', 241268663L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '5', 241224120L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '10', 241164614L, datetime.datetime(2013, 5, 28, 18, 22, 33), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'expand_tile', '11', 241222691L, datetime.datetime(2013, 5, 28, 18, 22, 56), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'collapse_tile', '11', 241222691L, datetime.datetime(2013, 5, 28, 18, 26, 41), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 26, 42), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'expand_tile', '12', 241149385L, datetime.datetime(2013, 5, 28, 18, 26, 53), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'view_full_application_via_name', '12', 241149385L, datetime.datetime(2013, 5, 28, 18, 27, 29), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'impression', '16', 241166250L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'impression', '17', 241191618L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '8', 241418693L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'impression', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'impression', '7', 241149688L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '12', 241149385L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'impression', '5', 241224120L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '2', 241268663L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '11', 241222691L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '10', 241164614L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '3', 241153237L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '15', 241156986L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.0399458112578698, False, 'best']
['renasci', 202575267, 'impression', '1', 241293698L, datetime.datetime(2013, 5, 28, 18, 33, 20), 0.259918545376691, False, 'best']
['renasci', 202575267, 'impression', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 33, 34), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'expand_tile', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 33, 38), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'expand_tile', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 34, 41), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'shortlist', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 34, 41), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 34, 42), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'view_full_application', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 34, 45), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 35), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 35), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'impression', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 35), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '17', 241191618L, datetime.datetime(2013, 5, 28, 18, 35), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '16', 241166250L, datetime.datetime(2013, 5, 28, 18, 35), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'impression', '2', 241268663L, datetime.datetime(2013, 5, 28, 18, 35), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '5', 241224120L, datetime.datetime(2013, 5, 28, 18, 35), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '7', 241149688L, datetime.datetime(2013, 5, 28, 18, 35), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 35), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 35), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'impression', '8', 241418693L, datetime.datetime(2013, 5, 28, 18, 35), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'impression', '11', 241222691L, datetime.datetime(2013, 5, 28, 18, 35), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '15', 241156986L, datetime.datetime(2013, 5, 28, 18, 35), 0.0399458112578698, False, 'best']
['renasci', 202575267, 'impression', '1', 241293698L, datetime.datetime(2013, 5, 28, 18, 35), 0.259918545376691, False, 'best']
['renasci', 202575267, 'impression', '3', 241153237L, datetime.datetime(2013, 5, 28, 18, 35), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '10', 241164614L, datetime.datetime(2013, 5, 28, 18, 35), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '12', 241149385L, datetime.datetime(2013, 5, 28, 18, 35), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'expand_tile', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 35, 8), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'view_full_application', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 35, 20), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'impression', '12', 241149385L, datetime.datetime(2013, 5, 28, 18, 36, 11), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'impression', '17', 241191618L, datetime.datetime(2013, 5, 28, 18, 36, 11), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '16', 241166250L, datetime.datetime(2013, 5, 28, 18, 36, 11), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'impression', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 36, 11), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 36, 11), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 36, 11), 0.0853317742034832, False, 'best']
