['bookturtle', 202546496, 'impression', '19', 240585722L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.0667376112971254, False, 'time']
['bookturtle', 202546496, 'impression', '9', 240589650L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.0778317114146966, False, 'time']
['bookturtle', 202546496, 'impression', '3', 240591124L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.0572818413555542, False, 'time']
['bookturtle', 202546496, 'impression', '10', 240589055L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.125692526176985, False, 'time']
['bookturtle', 202546496, 'impression', '11', 240588674L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.118527593540868, False, 'time']
['bookturtle', 202546496, 'impression', '15', 240587068L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.15710700802726, False, 'time']
['bookturtle', 202546496, 'impression', '7', 240589750L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.0620935912225427, False, 'time']
['bookturtle', 202546496, 'impression', '8', 240589743L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.099939437681746, False, 'time']
['bookturtle', 202546496, 'impression', '1', 240591941L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.151529743852687, False, 'time']
['bookturtle', 202546496, 'impression', '13', 240588106L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.0914865086069307, False, 'time']
['bookturtle', 202546496, 'impression', '12', 240588544L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.199560620955125, False, 'time']
['bookturtle', 202546496, 'impression', '5', 240590178L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.14199848349268, False, 'time']
['bookturtle', 202546496, 'impression', '18', 240586207L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.0871004907482483, False, 'time']
['bookturtle', 202546496, 'impression', '6', 240590167L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.0887977010816993, False, 'time']
['bookturtle', 202546496, 'impression', '4', 240591064L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.0609933104426552, False, 'time']
['bookturtle', 202546496, 'impression', '2', 240591311L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.0346845216180548, False, 'time']
['bookturtle', 202546496, 'impression', '17', 240586386L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.112930735212304, False, 'time']
['bookturtle', 202546496, 'impression', '14', 240587323L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.159549123910348, False, 'time']
['bookturtle', 202546496, 'impression', '16', 240586757L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.143109253683709, False, 'time']
['bookturtle', 202546496, 'impression', '20', 240585488L, datetime.datetime(2013, 5, 17, 3, 53, 8), 0.211226751273955, False, 'time']
['bookturtle', 202546496, 'expand_tile', '1', 240591941L, datetime.datetime(2013, 5, 17, 3, 53, 12), 0.151529743852687, False, 'time']
['bookturtle', 202546496, 'expand_tile', '5', 240590178L, datetime.datetime(2013, 5, 17, 3, 53, 30), 0.14199848349268, False, 'time']
['bookturtle', 202546496, 'impression', '11', 240562364L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.0842272631297165, False, 'best']
['bookturtle', 202546496, 'impression', '16', 240562575L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.106675957094998, False, 'best']
['bookturtle', 202546496, 'impression', '18', 240562636L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.180591806840665, False, 'best']
['bookturtle', 202546496, 'impression', '7', 240562271L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.0603798686070532, False, 'best']
['bookturtle', 202546496, 'impression', '13', 240562460L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.108045148147109, False, 'best']
['bookturtle', 202546496, 'impression', '6', 240562270L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.0197517371255219, False, 'best']
