['igino', 202564813, 'impression', '1', 240955523L, datetime.datetime(2013, 5, 21, 19, 40, 28), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '1', 240952293L, datetime.datetime(2013, 5, 21, 19, 40, 41), 0.0421021111496836, False, 'best']
['igino', 202564813, 'impression', '2', 240955523L, datetime.datetime(2013, 5, 21, 19, 40, 41), 0.0159811384102325, False, 'best']
['igino', 202564813, 'impression', '1', 240952293L, datetime.datetime(2013, 5, 21, 19, 52, 50), 0.0421021111496836, False, 'best']
['igino', 202564813, 'impression', '2', 240955523L, datetime.datetime(2013, 5, 21, 19, 52, 50), 0.0159811384102325, False, 'best']

['igino', 202564813, 'impression', '5', 240955523L, datetime.datetime(2013, 5, 22, 7, 12, 48), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '3', 240960819L, datetime.datetime(2013, 5, 22, 7, 12, 48), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '6', 240952293L, datetime.datetime(2013, 5, 22, 7, 12, 48), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '2', 240961905L, datetime.datetime(2013, 5, 22, 7, 12, 48), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '4', 240960587L, datetime.datetime(2013, 5, 22, 7, 12, 48), 0.0289796466407438, False, 'time']
['igino', 202564813, 'impression', '1', 240962838L, datetime.datetime(2013, 5, 22, 7, 12, 48), 0.0162052408259942, False, 'time']
['igino', 202564813, 'impression', '6', 240952293L, datetime.datetime(2013, 5, 22, 7, 13, 8), 0.0421021111496836, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '1', 240962838L, datetime.datetime(2013, 5, 22, 7, 13, 27), 0.0162052408259942, False, 'time']
['igino', 202564813, 'impression', '2', 240961905L, datetime.datetime(2013, 5, 22, 7, 22, 12), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '3', 240960819L, datetime.datetime(2013, 5, 22, 7, 22, 12), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '6', 240952293L, datetime.datetime(2013, 5, 22, 7, 22, 12), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '4', 240960587L, datetime.datetime(2013, 5, 22, 7, 22, 12), 0.0289796466407438, False, 'time']
['igino', 202564813, 'impression', '1', 240962838L, datetime.datetime(2013, 5, 22, 7, 22, 12), 0.0162052408259942, False, 'time']
['igino', 202564813, 'impression', '5', 240955523L, datetime.datetime(2013, 5, 22, 7, 22, 12), 0.0159811384102325, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '1', 240962838L, datetime.datetime(2013, 5, 22, 7, 22, 21), 0.0162052408259942, False, 'time']

['igino', 202564813, 'impression', '2', 240962838L, datetime.datetime(2013, 5, 26, 7, 58, 32), 0.0162052408259942, False, 'time']
['igino', 202564813, 'impression', '5', 240960587L, datetime.datetime(2013, 5, 26, 7, 58, 32), 0.0289796466407438, False, 'time']
['igino', 202564813, 'impression', '7', 240952293L, datetime.datetime(2013, 5, 26, 7, 58, 32), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '3', 240961905L, datetime.datetime(2013, 5, 26, 7, 58, 32), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '6', 240955523L, datetime.datetime(2013, 5, 26, 7, 58, 32), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '1', 241010614L, datetime.datetime(2013, 5, 26, 7, 58, 32), 0.032271006323709, False, 'time']
['igino', 202564813, 'impression', '4', 240960819L, datetime.datetime(2013, 5, 26, 7, 58, 32), 0.0434803138874423, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '1', 241010614L, datetime.datetime(2013, 5, 26, 7, 58, 40), 0.032271006323709, False, 'time']
['igino', 202564813, 'impression', '7', 240952293L, datetime.datetime(2013, 5, 26, 8, 2, 50), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '4', 240960819L, datetime.datetime(2013, 5, 26, 8, 2, 50), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '6', 240955523L, datetime.datetime(2013, 5, 26, 8, 2, 50), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '5', 240960587L, datetime.datetime(2013, 5, 26, 8, 2, 50), 0.0289796466407438, False, 'time']
['igino', 202564813, 'impression', '3', 240961905L, datetime.datetime(2013, 5, 26, 8, 2, 50), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '1', 241010614L, datetime.datetime(2013, 5, 26, 8, 2, 50), 0.032271006323709, False, 'time']
['igino', 202564813, 'impression', '2', 240962838L, datetime.datetime(2013, 5, 26, 8, 2, 50), 0.0162052408259942, False, 'time']
['igino', 202564813, 'impression', '1', 241010614L, datetime.datetime(2013, 5, 26, 8, 2, 52), 0.032271006323709, False, 'time']
['igino', 202564813, 'impression', '1', 241010614L, datetime.datetime(2013, 5, 26, 8, 2, 53), 0.032271006323709, False, 'time']
['igino', 202564813, 'impression', '2', 240962838L, datetime.datetime(2013, 5, 26, 8, 2, 53), 0.0162052408259942, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '2', 240962838L, datetime.datetime(2013, 5, 26, 8, 2, 55), 0.0162052408259942, False, 'time']
['igino', 202564813, 'impression', '4', 240960587L, datetime.datetime(2013, 5, 26, 8, 4, 31), 0.0289796466407438, False, 'time']
