['stuayre', 202587496, 'view_full_application', '4', 241434240L, datetime.datetime(2013, 5, 28, 9, 10, 51), 0.287243436121715, True, 'best']

['stuayre', 202587496, 'impression', '7', 241448249L, datetime.datetime(2013, 5, 28, 11, 9, 5), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '3', 241445834L, datetime.datetime(2013, 5, 28, 11, 9, 5), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433328L, datetime.datetime(2013, 5, 28, 11, 9, 5), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433962L, datetime.datetime(2013, 5, 28, 11, 9, 5), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 28, 11, 9, 5), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '5', 241433535L, datetime.datetime(2013, 5, 28, 11, 9, 5), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '4', 241434240L, datetime.datetime(2013, 5, 28, 11, 9, 5), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'collapse_tile', '3', 241445834L, datetime.datetime(2013, 5, 28, 11, 9, 14), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'expand_tile', '3', 241445834L, datetime.datetime(2013, 5, 28, 11, 9, 14), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'expand_tile', '3', 241445834L, datetime.datetime(2013, 5, 28, 11, 9, 15), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'collapse_tile', '3', 241445834L, datetime.datetime(2013, 5, 28, 11, 9, 30), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'expand_tile', '3', 241445834L, datetime.datetime(2013, 5, 28, 11, 9, 31), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'view_full_application', '3', 241445834L, datetime.datetime(2013, 5, 28, 11, 9, 32), 0.304712804121579, False, 'best']

['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 28, 13, 47, 6), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '7', 241448249L, datetime.datetime(2013, 5, 28, 13, 47, 6), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433962L, datetime.datetime(2013, 5, 28, 13, 47, 6), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433328L, datetime.datetime(2013, 5, 28, 13, 47, 6), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '5', 241433535L, datetime.datetime(2013, 5, 28, 13, 47, 6), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '4', 241434240L, datetime.datetime(2013, 5, 28, 13, 47, 6), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '3', 241445834L, datetime.datetime(2013, 5, 28, 13, 47, 6), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'expand_tile', '6', 241433962L, datetime.datetime(2013, 5, 28, 13, 47, 28), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'expand_tile', '2', 241433328L, datetime.datetime(2013, 5, 28, 13, 47, 41), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '7', 241433962L, datetime.datetime(2013, 5, 28, 13, 55, 9), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 28, 13, 55, 9), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '8', 241448249L, datetime.datetime(2013, 5, 28, 13, 55, 9), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433328L, datetime.datetime(2013, 5, 28, 13, 55, 9), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '4', 241445834L, datetime.datetime(2013, 5, 28, 13, 55, 9), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '5', 241434240L, datetime.datetime(2013, 5, 28, 13, 55, 9), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '6', 241433535L, datetime.datetime(2013, 5, 28, 13, 55, 9), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 28, 13, 55, 9), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'view_full_application_via_message', '1', 241432673L, datetime.datetime(2013, 5, 28, 13, 55, 19), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '8', 241448249L, datetime.datetime(2013, 5, 28, 13, 57, 12), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 28, 13, 57, 12), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '7', 241433962L, datetime.datetime(2013, 5, 28, 13, 57, 12), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 28, 13, 57, 12), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '4', 241445834L, datetime.datetime(2013, 5, 28, 13, 57, 12), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433328L, datetime.datetime(2013, 5, 28, 13, 57, 12), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433535L, datetime.datetime(2013, 5, 28, 13, 57, 12), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '5', 241434240L, datetime.datetime(2013, 5, 28, 13, 57, 12), 0.287243436121715, True, 'best']
