['delsnyc', 202576006, 'expand_tile', '2', 241179174L, datetime.datetime(2013, 5, 24, 12, 56, 42), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241179300L, datetime.datetime(2013, 5, 24, 12, 56, 45), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'send_message', '2', 241179174L, datetime.datetime(2013, 5, 24, 12, 56, 54), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'expand_tile', '2', 241179174L, datetime.datetime(2013, 5, 24, 12, 57, 22), 0.0469989893261173, False, 'time']

['delsnyc', 202576006, 'impression', '8', 241161173L, datetime.datetime(2013, 5, 24, 17, 12, 45), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241169685L, datetime.datetime(2013, 5, 24, 17, 12, 45), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161928L, datetime.datetime(2013, 5, 24, 17, 12, 45), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179300L, datetime.datetime(2013, 5, 24, 17, 12, 45), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'impression', '6', 241161964L, datetime.datetime(2013, 5, 24, 17, 12, 45), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241179174L, datetime.datetime(2013, 5, 24, 17, 12, 45), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241204865L, datetime.datetime(2013, 5, 24, 17, 12, 45), 0.133314819503137, False, 'time']
['delsnyc', 202576006, 'impression', '4', 241169787L, datetime.datetime(2013, 5, 24, 17, 12, 45), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'expand_tile', '1', 241204865L, datetime.datetime(2013, 5, 24, 17, 12, 51), 0.133314819503137, False, 'time']
['delsnyc', 202576006, 'send_message', '1', 241204865L, datetime.datetime(2013, 5, 24, 17, 13, 8), 0.133314819503137, False, 'time']
['delsnyc', 202576006, 'expand_tile', '1', 241204865L, datetime.datetime(2013, 5, 24, 17, 13, 23), 0.133314819503137, False, 'time']

['delsnyc', 202576006, 'impression', '4', 241179174L, datetime.datetime(2013, 5, 25, 18, 24, 11), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '8', 241161928L, datetime.datetime(2013, 5, 25, 18, 24, 11), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '6', 241169685L, datetime.datetime(2013, 5, 25, 18, 24, 11), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241204865L, datetime.datetime(2013, 5, 25, 18, 24, 11), 0.133314819503137, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241169787L, datetime.datetime(2013, 5, 25, 18, 24, 11), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161964L, datetime.datetime(2013, 5, 25, 18, 24, 11), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241243669L, datetime.datetime(2013, 5, 25, 18, 24, 11), 0.1118769343638, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241179300L, datetime.datetime(2013, 5, 25, 18, 24, 11), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'expand_tile', '1', 241243669L, datetime.datetime(2013, 5, 25, 18, 24, 20), 0.1118769343638, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241243669L, datetime.datetime(2013, 5, 25, 18, 24, 38), 0.1118769343638, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241243669L, datetime.datetime(2013, 5, 25, 18, 24, 38), 0.1118769343638, False, 'time']
['delsnyc', 202576006, 'expand_tile', '1', 241243669L, datetime.datetime(2013, 5, 25, 18, 24, 38), 0.1118769343638, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241204865L, datetime.datetime(2013, 5, 25, 18, 24, 39), 0.133314819503137, False, 'time']
['delsnyc', 202576006, 'expand_tile', '3', 241179300L, datetime.datetime(2013, 5, 25, 18, 24, 47), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'view_full_application_via_name', '3', 241179300L, datetime.datetime(2013, 5, 25, 18, 24, 59), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241179174L, datetime.datetime(2013, 5, 25, 18, 25, 35), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161928L, datetime.datetime(2013, 5, 25, 18, 25, 35), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241169685L, datetime.datetime(2013, 5, 25, 18, 25, 35), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179300L, datetime.datetime(2013, 5, 25, 18, 25, 35), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241204865L, datetime.datetime(2013, 5, 25, 18, 25, 35), 0.133314819503137, False, 'time']
['delsnyc', 202576006, 'impression', '4', 241169787L, datetime.datetime(2013, 5, 25, 18, 25, 35), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'impression', '6', 241161964L, datetime.datetime(2013, 5, 25, 18, 25, 35), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179300L, datetime.datetime(2013, 5, 25, 18, 25, 36), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179300L, datetime.datetime(2013, 5, 25, 18, 25, 36), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241179174L, datetime.datetime(2013, 5, 25, 18, 25, 38), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'view_full_application_via_name', '3', 241179174L, datetime.datetime(2013, 5, 25, 18, 25, 42), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241169787L, datetime.datetime(2013, 5, 25, 18, 26, 15), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241204865L, datetime.datetime(2013, 5, 25, 18, 26, 15), 0.133314819503137, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179174L, datetime.datetime(2013, 5, 25, 18, 26, 15), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241161964L, datetime.datetime(2013, 5, 25, 18, 26, 15), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'impression', '4', 241169685L, datetime.datetime(2013, 5, 25, 18, 26, 15), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '6', 241161928L, datetime.datetime(2013, 5, 25, 18, 26, 15), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179174L, datetime.datetime(2013, 5, 25, 18, 26, 34), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179174L, datetime.datetime(2013, 5, 25, 18, 26, 35), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241169787L, datetime.datetime(2013, 5, 25, 18, 26, 35), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'view_full_application_via_name', '3', 241169787L, datetime.datetime(2013, 5, 25, 18, 26, 38), 0.111108913518935, False, 'time']
