['nandcgraphics', 202572705, 'view_full_application', '1', 241113411L, datetime.datetime(2013, 5, 23, 16, 4, 5), 0.228504288330072, False, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241110549L, datetime.datetime(2013, 5, 23, 16, 8, 40), 0.180206735557423, True, 'time']
['nandcgraphics', 202572705, 'impression', '8', 241102867L, datetime.datetime(2013, 5, 23, 16, 8, 40), 0.218054042050634, False, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241107261L, datetime.datetime(2013, 5, 23, 16, 8, 40), 0.121942495563399, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241113411L, datetime.datetime(2013, 5, 23, 16, 8, 40), 0.228504288330072, False, 'time']
['nandcgraphics', 202572705, 'impression', '6', 241104069L, datetime.datetime(2013, 5, 23, 16, 8, 40), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '7', 241103147L, datetime.datetime(2013, 5, 23, 16, 8, 40), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '5', 241104222L, datetime.datetime(2013, 5, 23, 16, 8, 40), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241106780L, datetime.datetime(2013, 5, 23, 16, 8, 40), 0.0297714876156376, False, 'time']

['nandcgraphics', 202572705, 'impression', '9', 241103147L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '7', 241104222L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '6', 241106780L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.0297714876156376, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241120185L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.144181453437087, False, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241113411L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.228504288330072, False, 'time']
['nandcgraphics', 202572705, 'impression', '8', 241104069L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '10', 241102867L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.218054042050634, False, 'time']
['nandcgraphics', 202572705, 'impression', '5', 241107261L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.121942495563399, False, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241114926L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.295926199986647, True, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241110549L, datetime.datetime(2013, 5, 23, 16, 38, 49), 0.180206735557423, True, 'time']
['nandcgraphics', 202572705, 'expand_tile', '1', 241120185L, datetime.datetime(2013, 5, 23, 16, 38, 51), 0.144181453437087, False, 'time']
['nandcgraphics', 202572705, 'expand_tile', '2', 241114926L, datetime.datetime(2013, 5, 23, 16, 38, 56), 0.295926199986647, True, 'time']
['nandcgraphics', 202572705, 'view_full_application_via_name', '2', 241114926L, datetime.datetime(2013, 5, 23, 16, 39, 9), 0.295926199986647, True, 'time']
['nandcgraphics', 202572705, 'view_full_application_via_name', '1', 241120185L, datetime.datetime(2013, 5, 23, 16, 39, 13), 0.144181453437087, False, 'time']

['nandcgraphics', 202572705, 'impression', '6', 241106780L, datetime.datetime(2013, 5, 23, 17, 27, 58), 0.0297714876156376, False, 'time']
['nandcgraphics', 202572705, 'impression', '7', 241104222L, datetime.datetime(2013, 5, 23, 17, 27, 58), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241120185L, datetime.datetime(2013, 5, 23, 17, 27, 58), 0.144181453437087, False, 'time']
['nandcgraphics', 202572705, 'impression', '9', 241103147L, datetime.datetime(2013, 5, 23, 17, 27, 58), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241114926L, datetime.datetime(2013, 5, 23, 17, 27, 58), 0.295926199986647, True, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241110549L, datetime.datetime(2013, 5, 23, 17, 27, 58), 0.180206735557423, True, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241113411L, datetime.datetime(2013, 5, 23, 17, 27, 58), 0.228504288330072, False, 'time']
['nandcgraphics', 202572705, 'impression', '8', 241104069L, datetime.datetime(2013, 5, 23, 17, 27, 58), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '5', 241107261L, datetime.datetime(2013, 5, 23, 17, 27, 58), 0.121942495563399, False, 'time']
