['clubempire', 202583848, 'impression', '9', 241359718L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.0854836552925244, False, 'time']
['clubempire', 202583848, 'impression', '4', 241408062L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'impression', '13', 241350988L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.309696480270117, False, 'time']
['clubempire', 202583848, 'impression', '10', 241351489L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '8', 241363431L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.284902456375252, False, 'time']
['clubempire', 202583848, 'impression', '11', 241351176L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'impression', '7', 241373837L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.095938696285287, False, 'time']
['clubempire', 202583848, 'impression', '14', 241350722L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.195646144500084, True, 'time']
['clubempire', 202583848, 'impression', '3', 241416030L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.299431846049834, False, 'time']
['clubempire', 202583848, 'impression', '2', 241440895L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.211141254644321, False, 'time']
['clubempire', 202583848, 'impression', '6', 241377167L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.217933817288652, False, 'time']
['clubempire', 202583848, 'impression', '1', 241471704L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.0815067019500614, False, 'time']
['clubempire', 202583848, 'expand_tile', '4', 241408062L, datetime.datetime(2013, 5, 28, 10, 55, 37), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'send_message', '4', 241408062L, datetime.datetime(2013, 5, 28, 10, 55, 38), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'expand_tile', '4', 241408062L, datetime.datetime(2013, 5, 28, 10, 56, 30), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'impression', None, 241408062L, datetime.datetime(2013, 5, 28, 10, 57, 11), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'impression', '4', 241408062L, datetime.datetime(2013, 5, 28, 10, 57, 11), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'expand_tile', '5', 241385686L, datetime.datetime(2013, 5, 28, 10, 57, 22), 0.165902482896796, False, 'time']
['clubempire', 202583848, 'view_full_application', '5', 241385686L, datetime.datetime(2013, 5, 28, 10, 57, 54), 0.165902482896796, False, 'time']

['clubempire', 202583848, 'impression', '7', 241377167L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.217933817288652, False, 'time']
['clubempire', 202583848, 'impression', '5', 241408062L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'impression', '6', 241385686L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.165902482896796, False, 'time']
['clubempire', 202583848, 'impression', '10', 241359718L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.0854836552925244, False, 'time']
['clubempire', 202583848, 'impression', '14', 241350988L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.309696480270117, False, 'time']
['clubempire', 202583848, 'impression', '2', 241471704L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.0815067019500614, False, 'time']
['clubempire', 202583848, 'impression', '15', 241350722L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.195646144500084, True, 'time']
['clubempire', 202583848, 'impression', '1', 241494742L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.0891246744495971, False, 'time']
['clubempire', 202583848, 'impression', '8', 241373837L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.095938696285287, False, 'time']
['clubempire', 202583848, 'impression', '4', 241416030L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.299431846049834, False, 'time']
['clubempire', 202583848, 'impression', '12', 241351176L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'impression', '3', 241440895L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.211141254644321, False, 'time']
['clubempire', 202583848, 'impression', '11', 241351489L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '9', 241363431L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.284902456375252, False, 'time']
['clubempire', 202583848, 'impression', '13', 241351123L, datetime.datetime(2013, 5, 28, 15, 5, 43), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'expand_tile', '1', 241494742L, datetime.datetime(2013, 5, 28, 15, 5, 47), 0.0891246744495971, False, 'time']
['clubempire', 202583848, 'impression', '7', 241377167L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.217933817288652, False, 'time']
['clubempire', 202583848, 'impression', '8', 241373837L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.095938696285287, False, 'time']
['clubempire', 202583848, 'impression', '15', 241350722L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.195646144500084, True, 'time']
['clubempire', 202583848, 'impression', '12', 241351176L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'impression', '1', 241494742L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.0891246744495971, False, 'time']
['clubempire', 202583848, 'impression', '4', 241416030L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.299431846049834, False, 'time']
['clubempire', 202583848, 'impression', '2', 241471704L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.0815067019500614, False, 'time']
['clubempire', 202583848, 'impression', '13', 241351123L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'impression', '3', 241440895L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.211141254644321, False, 'time']
['clubempire', 202583848, 'impression', '10', 241359718L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.0854836552925244, False, 'time']
['clubempire', 202583848, 'impression', '5', 241408062L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'impression', '14', 241350988L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.309696480270117, False, 'time']
['clubempire', 202583848, 'impression', '6', 241385686L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.165902482896796, False, 'time']
['clubempire', 202583848, 'impression', '11', 241351489L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '9', 241363431L, datetime.datetime(2013, 5, 28, 15, 17, 16), 0.284902456375252, False, 'time']

