['whitie7', 202570449, 'impression', '19', 241056091L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0588286145791631, False, 'time']
['whitie7', 202570449, 'impression', '14', 241056711L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0756640608733951, False, 'time']
['whitie7', 202570449, 'impression', '10', 241057165L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0189724478220101, False, 'time']
['whitie7', 202570449, 'impression', '4', 241059157L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'impression', '2', 241061521L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.130544053655658, False, 'time']
['whitie7', 202570449, 'impression', '1', 241064131L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.103781876878327, False, 'time']
['whitie7', 202570449, 'impression', '7', 241057883L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.067287653792576, False, 'time']
['whitie7', 202570449, 'impression', '13', 241056754L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0415951674261575, False, 'time']
['whitie7', 202570449, 'impression', '3', 241061085L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'impression', '11', 241056813L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0527774906491262, False, 'time']
['whitie7', 202570449, 'impression', '15', 241056529L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.00945334083661363, False, 'time']
['whitie7', 202570449, 'impression', '12', 241056787L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.02930861710322, False, 'time']
['whitie7', 202570449, 'impression', '16', 241056417L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0456264832862965, False, 'time']
['whitie7', 202570449, 'impression', '18', 241056281L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0486642823710513, False, 'time']
['whitie7', 202570449, 'impression', '17', 241056337L, datetime.datetime(2013, 5, 23, 2, 46, 50), 0.0193109962158702, False, 'time']
['whitie7', 202570449, 'expand_tile', '5', 241058685L, datetime.datetime(2013, 5, 23, 2, 46, 57), 0.0543632361290965, False, 'time']
['whitie7', 202570449, 'collapse_tile', '5', 241058685L, datetime.datetime(2013, 5, 23, 2, 46, 59), 0.0543632361290965, False, 'time']
['whitie7', 202570449, 'impression', '5', 241058685L, datetime.datetime(2013, 5, 23, 2, 47), 0.0543632361290965, False, 'time']
['whitie7', 202570449, 'impression', '5', 241058685L, datetime.datetime(2013, 5, 23, 2, 47), 0.0543632361290965, False, 'time']
