['shoplocket', 202559944, 'impression', '13', 240887535L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.0663057388236905, False, 'best']
['shoplocket', 202559944, 'impression', '20', 240859691L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.0484481662841283, False, 'best']
['shoplocket', 202559944, 'impression', '10', 240855905L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.0760446971299562, False, 'best']
['shoplocket', 202559944, 'impression', '16', 240881653L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.0536692838921331, False, 'best']
['shoplocket', 202559944, 'impression', '12', 240876608L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.0712870052844645, False, 'best']
['shoplocket', 202559944, 'impression', '9', 240943201L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.0772563150156695, False, 'best']
['shoplocket', 202559944, 'impression', '7', 240899645L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'impression', '2', 240898713L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.17048804322621, False, 'best']
['shoplocket', 202559944, 'impression', '19', 240857358L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.0495023542929137, False, 'best']
['shoplocket', 202559944, 'impression', '4', 240875488L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.110768872878064, False, 'best']
['shoplocket', 202559944, 'impression', '14', 240888917L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.0583137562500163, False, 'best']
['shoplocket', 202559944, 'impression', '3', 240920734L, datetime.datetime(2013, 5, 21, 22, 48, 45), 0.122866850760265, False, 'best']

['shoplocket', 202559944, 'impression', '16', 240855905L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.0760446971299562, False, 'best']
['shoplocket', 202559944, 'impression', '8', 240981222L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.108005548953205, False, 'best']
['shoplocket', 202559944, 'impression', '6', 240998207L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.121240700900861, False, 'best']
['shoplocket', 202559944, 'impression', '18', 240876608L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.0712870052844645, False, 'best']
['shoplocket', 202559944, 'impression', '11', 240916205L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.0977446333811894, True, 'best']
['shoplocket', 202559944, 'impression', '1', 240920293L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.183731005272972, False, 'best']
['shoplocket', 202559944, 'impression', '3', 241036725L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.131053722300701, False, 'best']
['shoplocket', 202559944, 'impression', '20', 240995984L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.0631537986346433, False, 'best']
['shoplocket', 202559944, 'impression', '14', 240870873L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.0809604265871905, False, 'best']
['shoplocket', 202559944, 'impression', '17', 240875228L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.0751253457071637, False, 'best']
['shoplocket', 202559944, 'impression', '12', 240854671L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.0847288349311538, True, 'best']
['shoplocket', 202559944, 'impression', '19', 240887535L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.0663057388236905, False, 'best']
['shoplocket', 202559944, 'impression', '13', 240899645L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.083402635795874, False, 'best']
['shoplocket', 202559944, 'impression', '2', 240898713L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.17048804322621, False, 'best']
['shoplocket', 202559944, 'impression', '5', 240920734L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.122866850760265, False, 'best']
['shoplocket', 202559944, 'impression', '7', 240875488L, datetime.datetime(2013, 5, 22, 19, 21, 23), 0.110768872878064, False, 'best']
