['marijowc', 202562449, 'impression', '6', 240906007L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '11', 240903495L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '3', 240911885L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '13', 240915616L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.0997325101939265, False, 'best']
['marijowc', 202562449, 'impression', '5', 240904075L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.148865760125327, False, 'best']
['marijowc', 202562449, 'impression', '9', 240902868L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', '8', 240922216L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '14', 240906646L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '15', 240927587L, datetime.datetime(2013, 5, 22, 3, 47, 22), 0.0916061087642831, False, 'best']
['marijowc', 202562449, 'impression', '14', 240906646L, datetime.datetime(2013, 5, 22, 3, 47, 23), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'expand_tile', '14', 240906646L, datetime.datetime(2013, 5, 22, 3, 47, 27), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'view_full_application', '14', 240906646L, datetime.datetime(2013, 5, 22, 3, 47, 53), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.306958881269832, False, 'best']
