['bboym0de', 202580549, 'impression', '1', 241334255L, datetime.datetime(2013, 5, 26, 16, 40, 12), 0.00537399453189881, False, 'time']
['bboym0de', 202580549, 'view_full_application_via_name', '1', 241334255L, datetime.datetime(2013, 5, 26, 16, 40, 13), 0.00537399453189881, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241334255L, datetime.datetime(2013, 5, 26, 16, 40, 14), 0.00537399453189881, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241325162L, datetime.datetime(2013, 5, 26, 16, 40, 15), 0.00455196914383971, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241305513L, datetime.datetime(2013, 5, 26, 16, 40, 19), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'view_full_application_via_name', '3', 241305513L, datetime.datetime(2013, 5, 26, 16, 40, 23), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241305513L, datetime.datetime(2013, 5, 26, 16, 40, 25), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'impression', '11', 241272318L, datetime.datetime(2013, 5, 26, 16, 40, 50), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'expand_tile', '10', 241272957L, datetime.datetime(2013, 5, 26, 16, 40, 57), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'view_full_application_via_name', '10', 241272957L, datetime.datetime(2013, 5, 26, 16, 40, 58), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'view_full_application_via_name', '4', 241301069L, datetime.datetime(2013, 5, 26, 16, 51, 24), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241334255L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.00537399453189881, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241299685L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '9', 241272957L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '10', 241272318L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241301069L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241283825L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241305513L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241274473L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241292512L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.00543807272099265, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241274249L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '11', 241272249L, datetime.datetime(2013, 5, 26, 16, 51, 30), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241292512L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.00543807272099265, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241334255L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.00537399453189881, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241305513L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241274473L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241283825L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241301069L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241299685L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '9', 241272957L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '10', 241272318L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '11', 241272249L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241274249L, datetime.datetime(2013, 5, 26, 16, 51, 47), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241299685L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '9', 241272957L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '10', 241272318L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '11', 241272249L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241274249L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241301069L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241283825L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241292512L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.00543807272099265, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241305513L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241274473L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241334255L, datetime.datetime(2013, 5, 26, 17, 0, 34), 0.00537399453189881, False, 'time']

['bboym0de', 202580549, 'impression', '2', 241350301L, datetime.datetime(2013, 5, 27, 3, 58, 55), 0.017502717808716, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241363087L, datetime.datetime(2013, 5, 27, 3, 58, 55), 0.00484846546911184, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241292512L, datetime.datetime(2013, 5, 27, 3, 58, 55), 0.00543807272099265, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241334255L, datetime.datetime(2013, 5, 27, 3, 58, 55), 0.00537399453189881, False, 'time']
['bboym0de', 202580549, 'impression', '10', 241274473L, datetime.datetime(2013, 5, 27, 3, 58, 55), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241342233L, datetime.datetime(2013, 5, 27, 3, 58, 55), 0.0338653413711468, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241305513L, datetime.datetime(2013, 5, 27, 3, 58, 55), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241301069L, datetime.datetime(2013, 5, 27, 3, 58, 55), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '9', 241283825L, datetime.datetime(2013, 5, 27, 3, 58, 55), 0.0182026925769207, False, 'time']
