['jeff0256', 202570349, 'impression', '1', 241055670L, datetime.datetime(2013, 5, 22, 22, 43, 41), 0.137105395438638, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054462L, datetime.datetime(2013, 5, 22, 22, 43, 41), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'hide', '1', 241055670L, datetime.datetime(2013, 5, 22, 22, 43, 43), 0.137105395438638, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241054462L, datetime.datetime(2013, 5, 22, 22, 45, 30), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054252L, datetime.datetime(2013, 5, 22, 22, 45, 30), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055364L, datetime.datetime(2013, 5, 22, 22, 45, 30), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '3', 241054252L, datetime.datetime(2013, 5, 22, 22, 45, 36), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054252L, datetime.datetime(2013, 5, 22, 22, 46, 44), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241054462L, datetime.datetime(2013, 5, 22, 22, 46, 44), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055364L, datetime.datetime(2013, 5, 22, 22, 46, 44), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'hide', '3', 241054252L, datetime.datetime(2013, 5, 22, 22, 46, 46), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '2', 241054462L, datetime.datetime(2013, 5, 22, 22, 46, 47), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055364L, datetime.datetime(2013, 5, 22, 22, 47, 27), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241054462L, datetime.datetime(2013, 5, 22, 22, 47, 27), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'hide', '2', 241054462L, datetime.datetime(2013, 5, 22, 22, 47, 28), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'hide', '-1', 241055364L, datetime.datetime(2013, 5, 22, 22, 47, 33), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241056560L, datetime.datetime(2013, 5, 22, 23, 13, 29), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '1', 241056560L, datetime.datetime(2013, 5, 22, 23, 13, 32), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241056774L, datetime.datetime(2013, 5, 22, 23, 15, 11), 0.109909195280803, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 15, 11), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 15, 19), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241056774L, datetime.datetime(2013, 5, 22, 23, 15, 53), 0.109909195280803, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 15, 53), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '1', 241056774L, datetime.datetime(2013, 5, 22, 23, 15, 55), 0.109909195280803, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241056774L, datetime.datetime(2013, 5, 22, 23, 17, 46), 0.109909195280803, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 17, 46), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'hide', '1', 241056774L, datetime.datetime(2013, 5, 22, 23, 17, 50), 0.109909195280803, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241056560L, datetime.datetime(2013, 5, 22, 23, 34, 49), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'expand_tile', '1', 241056560L, datetime.datetime(2013, 5, 22, 23, 34, 53), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '1', 241056560L, datetime.datetime(2013, 5, 22, 23, 35, 15), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 35, 54), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241057390L, datetime.datetime(2013, 5, 22, 23, 35, 54), 0.0645609542044217, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '1', 241057390L, datetime.datetime(2013, 5, 22, 23, 35, 57), 0.0645609542044217, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241057390L, datetime.datetime(2013, 5, 22, 23, 36, 48), 0.0645609542044217, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 36, 48), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241057390L, datetime.datetime(2013, 5, 22, 23, 43, 59), 0.0645609542044217, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 43, 59), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 44, 2), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241057390L, datetime.datetime(2013, 5, 22, 23, 51, 39), 0.0645609542044217, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 51, 39), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'hide', '1', 241057390L, datetime.datetime(2013, 5, 22, 23, 51, 45), 0.0645609542044217, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '2', 241056560L, datetime.datetime(2013, 5, 22, 23, 51, 46), 0.152722218232802, False, 'time']

['jeff0256', 202570349, 'impression', '3', 241059190L, datetime.datetime(2013, 5, 23, 1, 18, 24), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241056560L, datetime.datetime(2013, 5, 23, 1, 18, 24), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241059336L, datetime.datetime(2013, 5, 23, 1, 18, 24), 0.0582322478302815, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241060447L, datetime.datetime(2013, 5, 23, 1, 18, 24), 0.0711133611073304, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '3', 241059190L, datetime.datetime(2013, 5, 23, 1, 18, 31), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241059336L, datetime.datetime(2013, 5, 23, 1, 23, 16), 0.0582322478302815, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241061042L, datetime.datetime(2013, 5, 23, 1, 23, 16), 0.137781544766416, False, 'time']
['jeff0256', 202570349, 'impression', '6', 241056560L, datetime.datetime(2013, 5, 23, 1, 23, 16), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241059190L, datetime.datetime(2013, 5, 23, 1, 23, 16), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241060961L, datetime.datetime(2013, 5, 23, 1, 23, 16), 0.0908028299193961, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241060447L, datetime.datetime(2013, 5, 23, 1, 23, 16), 0.0711133611073304, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '4', 241059336L, datetime.datetime(2013, 5, 23, 1, 23, 48), 0.0582322478302815, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241060447L, datetime.datetime(2013, 5, 23, 1, 24, 28), 0.0711133611073304, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241060961L, datetime.datetime(2013, 5, 23, 1, 24, 28), 0.0908028299193961, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241059190L, datetime.datetime(2013, 5, 23, 1, 24, 28), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '6', 241056560L, datetime.datetime(2013, 5, 23, 1, 24, 28), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241061042L, datetime.datetime(2013, 5, 23, 1, 24, 28), 0.137781544766416, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241059336L, datetime.datetime(2013, 5, 23, 1, 24, 28), 0.0582322478302815, False, 'time']
['jeff0256', 202570349, 'hide', '4', 241059336L, datetime.datetime(2013, 5, 23, 1, 24, 32), 0.0582322478302815, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '5', 241059190L, datetime.datetime(2013, 5, 23, 1, 24, 34), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241061042L, datetime.datetime(2013, 5, 23, 1, 25, 49), 0.137781544766416, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241059190L, datetime.datetime(2013, 5, 23, 1, 25, 49), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241060961L, datetime.datetime(2013, 5, 23, 1, 25, 49), 0.0908028299193961, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241056560L, datetime.datetime(2013, 5, 23, 1, 25, 49), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241060447L, datetime.datetime(2013, 5, 23, 1, 25, 49), 0.0711133611073304, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '3', 241060447L, datetime.datetime(2013, 5, 23, 1, 25, 52), 0.0711133611073304, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241056560L, datetime.datetime(2013, 5, 23, 1, 26, 51), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241059190L, datetime.datetime(2013, 5, 23, 1, 26, 51), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241060961L, datetime.datetime(2013, 5, 23, 1, 26, 51), 0.0908028299193961, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241061042L, datetime.datetime(2013, 5, 23, 1, 26, 51), 0.137781544766416, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241060447L, datetime.datetime(2013, 5, 23, 1, 26, 51), 0.0711133611073304, False, 'time']
['jeff0256', 202570349, 'hide', '3', 241060447L, datetime.datetime(2013, 5, 23, 1, 26, 54), 0.0711133611073304, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '2', 241060961L, datetime.datetime(2013, 5, 23, 1, 26, 58), 0.0908028299193961, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241056560L, datetime.datetime(2013, 5, 23, 1, 27, 56), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241060961L, datetime.datetime(2013, 5, 23, 1, 27, 56), 0.0908028299193961, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241059190L, datetime.datetime(2013, 5, 23, 1, 27, 56), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241061042L, datetime.datetime(2013, 5, 23, 1, 27, 56), 0.137781544766416, False, 'time']
['jeff0256', 202570349, 'hide', '2', 241060961L, datetime.datetime(2013, 5, 23, 1, 27, 57), 0.0908028299193961, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241059190L, datetime.datetime(2013, 5, 23, 1, 28, 12), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241056560L, datetime.datetime(2013, 5, 23, 1, 28, 12), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241061042L, datetime.datetime(2013, 5, 23, 1, 28, 12), 0.137781544766416, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '1', 241061042L, datetime.datetime(2013, 5, 23, 1, 28, 14), 0.137781544766416, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241061042L, datetime.datetime(2013, 5, 23, 1, 29, 18), 0.137781544766416, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241059190L, datetime.datetime(2013, 5, 23, 1, 29, 18), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241056560L, datetime.datetime(2013, 5, 23, 1, 29, 18), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'hide', '1', 241061042L, datetime.datetime(2013, 5, 23, 1, 29, 21), 0.137781544766416, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 23, 1, 52, 9), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241059190L, datetime.datetime(2013, 5, 23, 1, 52, 9), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '1', 241059190L, datetime.datetime(2013, 5, 23, 1, 52, 11), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 23, 2, 12, 46), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241059190L, datetime.datetime(2013, 5, 23, 2, 12, 46), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241059190L, datetime.datetime(2013, 5, 23, 2, 34, 59), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 23, 2, 34, 59), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '2', 241056560L, datetime.datetime(2013, 5, 23, 2, 35, 1), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241059190L, datetime.datetime(2013, 5, 23, 2, 49, 57), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241056560L, datetime.datetime(2013, 5, 23, 2, 49, 57), 0.152722218232802, False, 'time']

['jeff0256', 202570349, 'impression', '2', 241068523L, datetime.datetime(2013, 5, 23, 5, 3, 30), 0.0582979230646724, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241068690L, datetime.datetime(2013, 5, 23, 5, 3, 30), 0.105338203927331, False, 'time']
