['achieve', 202570063, 'impression', '8', 241049942L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '10', 241049825L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'impression', '9', 241049881L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '4', 241050879L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.146802973202625, False, 'time']
['achieve', 202570063, 'impression', '5', 241050442L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '1', 241051943L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.056659420875768, True, 'time']
['achieve', 202570063, 'expand_tile', '2', 241051269L, datetime.datetime(2013, 5, 22, 21, 26, 25), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'expand_tile', '1', 241051943L, datetime.datetime(2013, 5, 22, 21, 26, 26), 0.056659420875768, True, 'time']
['achieve', 202570063, 'view_full_application', '1', 241051943L, datetime.datetime(2013, 5, 22, 21, 26, 41), 0.056659420875768, True, 'time']

['achieve', 202570063, 'impression', '4', 241051070L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.0622271796283643, False, 'time']
['achieve', 202570063, 'impression', '10', 241049881L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '9', 241049942L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '11', 241049825L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'impression', '5', 241050879L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.146802973202625, False, 'time']
['achieve', 202570063, 'impression', '6', 241050442L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '1', 241053947L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.124652866896261, False, 'time']
['achieve', 202570063, 'impression', '2', 241051943L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.056659420875768, True, 'time']
['achieve', 202570063, 'impression', '3', 241051269L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'impression', '7', 241050108L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '8', 241050100L, datetime.datetime(2013, 5, 22, 21, 57, 23), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'expand_tile', '1', 241053947L, datetime.datetime(2013, 5, 22, 21, 57, 25), 0.124652866896261, False, 'time']
['achieve', 202570063, 'shortlist', '2', 241051943L, datetime.datetime(2013, 5, 22, 21, 57, 38), 0.056659420875768, True, 'time']

['achieve', 202570063, 'impression', '2', 241051269L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'impression', '6', 241050108L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '7', 241050100L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '10', 241049825L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'impression', '8', 241049942L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '9', 241049881L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '3', 241051070L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.0622271796283643, False, 'time']
['achieve', 202570063, 'impression', '5', 241050442L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '1', 241053947L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.124652866896261, False, 'time']
['achieve', 202570063, 'impression', '4', 241050879L, datetime.datetime(2013, 5, 22, 23, 12, 16), 0.146802973202625, False, 'time']

['achieve', 202570063, 'impression', '2', 241092455L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.136185628476971, False, 'time']
['achieve', 202570063, 'impression', '12', 241050100L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '11', 241050108L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '1', 241118250L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.169833242491307, False, 'time']
['achieve', 202570063, 'impression', '7', 241051269L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'impression', '9', 241050879L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.146802973202625, False, 'time']
['achieve', 202570063, 'impression', '10', 241050442L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '6', 241053947L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.124652866896261, False, 'time']
['achieve', 202570063, 'impression', '13', 241049881L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '4', 241076147L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.0180226408884353, False, 'time']
['achieve', 202570063, 'impression', '3', 241090645L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.0734831561927517, False, 'time']
['achieve', 202570063, 'impression', '5', 241062627L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.0794910887351164, False, 'time']
['achieve', 202570063, 'impression', '8', 241051070L, datetime.datetime(2013, 5, 23, 20, 54, 44), 0.0622271796283643, False, 'time']

