['amarkismat', 202569518, 'impression', '5', 241048444L, datetime.datetime(2013, 5, 23, 16, 53, 11), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'view_full_application_via_name', '1', 241111593L, datetime.datetime(2013, 5, 23, 16, 55, 13), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241048444L, datetime.datetime(2013, 5, 23, 16, 56, 46), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241089057L, datetime.datetime(2013, 5, 23, 16, 56, 46), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241070126L, datetime.datetime(2013, 5, 23, 16, 56, 46), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241111593L, datetime.datetime(2013, 5, 23, 16, 56, 46), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241047209L, datetime.datetime(2013, 5, 23, 16, 56, 46), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241040855L, datetime.datetime(2013, 5, 23, 16, 56, 46), 0.00507730941202369, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 23, 16, 56, 46), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241082153L, datetime.datetime(2013, 5, 23, 16, 56, 46), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 23, 16, 56, 46), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'view_full_application_via_name', '2', 241089057L, datetime.datetime(2013, 5, 23, 16, 56, 50), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241048444L, datetime.datetime(2013, 5, 23, 17, 5, 19), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241089057L, datetime.datetime(2013, 5, 23, 17, 5, 19), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241047209L, datetime.datetime(2013, 5, 23, 17, 5, 19), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241040855L, datetime.datetime(2013, 5, 23, 17, 5, 19), 0.00507730941202369, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241070126L, datetime.datetime(2013, 5, 23, 17, 5, 19), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241111593L, datetime.datetime(2013, 5, 23, 17, 5, 19), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 23, 17, 5, 19), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 23, 17, 5, 19), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241082153L, datetime.datetime(2013, 5, 23, 17, 5, 19), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'view_full_application_via_name', '3', 241082153L, datetime.datetime(2013, 5, 23, 17, 5, 32), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241070126L, datetime.datetime(2013, 5, 23, 17, 12, 20), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241111593L, datetime.datetime(2013, 5, 23, 17, 12, 20), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 23, 17, 12, 20), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241048444L, datetime.datetime(2013, 5, 23, 17, 12, 20), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241082153L, datetime.datetime(2013, 5, 23, 17, 12, 20), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241040855L, datetime.datetime(2013, 5, 23, 17, 12, 20), 0.00507730941202369, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241047209L, datetime.datetime(2013, 5, 23, 17, 12, 20), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 23, 17, 12, 20), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241089057L, datetime.datetime(2013, 5, 23, 17, 12, 20), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'view_full_application_via_name', '2', 241089057L, datetime.datetime(2013, 5, 23, 17, 12, 22), 0.022673408709962, False, 'time']

['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 23, 19, 10, 57), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241089057L, datetime.datetime(2013, 5, 23, 19, 10, 57), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241047209L, datetime.datetime(2013, 5, 23, 19, 10, 57), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241040855L, datetime.datetime(2013, 5, 23, 19, 10, 57), 0.00507730941202369, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 23, 19, 10, 57), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241082153L, datetime.datetime(2013, 5, 23, 19, 10, 57), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241111593L, datetime.datetime(2013, 5, 23, 19, 10, 57), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241070126L, datetime.datetime(2013, 5, 23, 19, 10, 57), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241048444L, datetime.datetime(2013, 5, 23, 19, 10, 57), 0.00492697123048981, False, 'time']

['amarkismat', 202569518, 'impression', '5', 241048444L, datetime.datetime(2013, 5, 24, 3, 4, 24), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241089057L, datetime.datetime(2013, 5, 24, 3, 4, 24), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241070126L, datetime.datetime(2013, 5, 24, 3, 4, 24), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241111593L, datetime.datetime(2013, 5, 24, 3, 4, 24), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 24, 3, 4, 24), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241040855L, datetime.datetime(2013, 5, 24, 3, 4, 24), 0.00507730941202369, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241047209L, datetime.datetime(2013, 5, 24, 3, 4, 24), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 24, 3, 4, 24), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241082153L, datetime.datetime(2013, 5, 24, 3, 4, 24), 0.0905973954470974, False, 'time']

