['pramodchauhan80', 202563078, 'impression', '4', 240930316L, datetime.datetime(2013, 5, 21, 15, 34, 14), 0.172621938062194, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 21, 15, 34, 23), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240930316L, datetime.datetime(2013, 5, 21, 15, 34, 33), 0.172621938062194, False, 'time']
['pramodchauhan80', 202563078, 'impression', '5', 240925423L, datetime.datetime(2013, 5, 21, 15, 34, 36), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 21, 15, 36, 31), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 21, 15, 36, 31), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240932774L, datetime.datetime(2013, 5, 21, 15, 36, 31), 0.0884164181567716, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 21, 15, 36, 31), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '5', 240920019L, datetime.datetime(2013, 5, 21, 15, 36, 31), 0.0923892075852996, False, 'time']

['pramodchauhan80', 202563078, 'impression', '3', 240932774L, datetime.datetime(2013, 5, 21, 16, 7, 5), 0.0884164181567716, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 21, 16, 7, 5), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '5', 240920019L, datetime.datetime(2013, 5, 21, 16, 7, 5), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 21, 16, 7, 5), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 21, 16, 7, 5), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 21, 16, 17, 40), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 21, 16, 17, 40), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240932774L, datetime.datetime(2013, 5, 21, 16, 17, 40), 0.0884164181567716, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 21, 16, 17, 40), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '5', 240920019L, datetime.datetime(2013, 5, 21, 16, 17, 40), 0.0923892075852996, False, 'time']

['pramodchauhan80', 202563078, 'impression', '3', 240932774L, datetime.datetime(2013, 5, 21, 16, 50, 1), 0.0884164181567716, False, 'time']
