['alexpauwels', 202583255, 'impression', '7', 241346130L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.144197575871396, False, 'best']
['alexpauwels', 202583255, 'impression', '19', 241336958L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.0625831664622414, False, 'best']
['alexpauwels', 202583255, 'impression', '16', 241341616L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.0812315052502673, False, 'best']
['alexpauwels', 202583255, 'impression', '12', 241336026L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.0902189965885998, False, 'best']
['alexpauwels', 202583255, 'impression', '17', 241336010L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.0670081807394402, False, 'best']
['alexpauwels', 202583255, 'impression', '10', 241344828L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.102272575902721, False, 'best']
['alexpauwels', 202583255, 'impression', '4', 241335925L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'impression', '18', 241335989L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.0654196596790271, False, 'best']
['alexpauwels', 202583255, 'impression', '20', 241338423L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.0600568661819677, False, 'best']
['alexpauwels', 202583255, 'impression', '2', 241337117L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.193199312894122, False, 'best']
['alexpauwels', 202583255, 'impression', '3', 241346361L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.177271481889878, False, 'best']
['alexpauwels', 202583255, 'impression', '11', 241336874L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.100095250531142, False, 'best']
['alexpauwels', 202583255, 'impression', '5', 241345985L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.150243522108944, False, 'best']
['alexpauwels', 202583255, 'impression', '9', 241339394L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.122169175295804, False, 'best']
['alexpauwels', 202583255, 'impression', '13', 241336243L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.0880970762712343, False, 'best']
['alexpauwels', 202583255, 'view_full_application_via_name', '3', 241346361L, datetime.datetime(2013, 5, 26, 19, 17, 15), 0.177271481889878, False, 'best']
['alexpauwels', 202583255, 'impression', '12', 241336026L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.0902189965885998, False, 'best']
['alexpauwels', 202583255, 'impression', '15', 241335408L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.0822307233997435, False, 'best']
['alexpauwels', 202583255, 'impression', '7', 241346130L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.144197575871396, False, 'best']
['alexpauwels', 202583255, 'impression', '16', 241341616L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.0812315052502673, False, 'best']
['alexpauwels', 202583255, 'impression', '19', 241336958L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.0625831664622414, False, 'best']
['alexpauwels', 202583255, 'impression', '6', 241341859L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.149658235175683, False, 'best']
['alexpauwels', 202583255, 'impression', '17', 241336010L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.0670081807394402, False, 'best']
['alexpauwels', 202583255, 'impression', '14', 241336845L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.0845094507824716, False, 'best']
['alexpauwels', 202583255, 'impression', '8', 241337740L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.125741362903244, False, 'best']
['alexpauwels', 202583255, 'impression', '1', 241336033L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.226933093461993, False, 'best']
['alexpauwels', 202583255, 'impression', '13', 241336243L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.0880970762712343, False, 'best']
['alexpauwels', 202583255, 'impression', '9', 241339394L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.122169175295804, False, 'best']
['alexpauwels', 202583255, 'impression', '2', 241337117L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.193199312894122, False, 'best']
['alexpauwels', 202583255, 'impression', '3', 241346361L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.177271481889878, False, 'best']
['alexpauwels', 202583255, 'impression', '11', 241336874L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.100095250531142, False, 'best']
['alexpauwels', 202583255, 'impression', '5', 241345985L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.150243522108944, False, 'best']
['alexpauwels', 202583255, 'impression', '20', 241338423L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.0600568661819677, False, 'best']
['alexpauwels', 202583255, 'impression', '4', 241335925L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'impression', '18', 241335989L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.0654196596790271, False, 'best']
['alexpauwels', 202583255, 'impression', '10', 241344828L, datetime.datetime(2013, 5, 26, 19, 17, 54), 0.102272575902721, False, 'best']

['alexpauwels', 202583255, 'impression', '20', 241362589L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.0710520460082185, False, 'best']
['alexpauwels', 202583255, 'impression', '13', 241344828L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.102272575902721, False, 'best']
['alexpauwels', 202583255, 'impression', '7', 241335925L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'impression', '15', 241336026L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.0902189965885998, False, 'best']
['alexpauwels', 202583255, 'impression', '9', 241341859L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.149658235175683, False, 'best']
['alexpauwels', 202583255, 'impression', '19', 241341616L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.0812315052502673, False, 'best']
['alexpauwels', 202583255, 'impression', '18', 241335408L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.0822307233997435, False, 'best']
['alexpauwels', 202583255, 'impression', '5', 241362479L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.184048707591055, False, 'best']
['alexpauwels', 202583255, 'impression', '10', 241337740L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.125741362903244, False, 'best']
['alexpauwels', 202583255, 'impression', '17', 241336845L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.0845094507824716, False, 'best']
['alexpauwels', 202583255, 'impression', '2', 241336033L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.226933093461993, False, 'best']
['alexpauwels', 202583255, 'impression', '3', 241357397L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.202652180700147, False, 'best']
['alexpauwels', 202583255, 'impression', '6', 241346361L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.177271481889878, False, 'best']
['alexpauwels', 202583255, 'impression', '4', 241337117L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.193199312894122, False, 'best']
['alexpauwels', 202583255, 'impression', '14', 241336874L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.100095250531142, False, 'best']
['alexpauwels', 202583255, 'impression', '16', 241336243L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.0880970762712343, False, 'best']
['alexpauwels', 202583255, 'impression', '1', 241361241L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.304953375473939, False, 'best']
['alexpauwels', 202583255, 'impression', '11', 241339394L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.122169175295804, False, 'best']
['alexpauwels', 202583255, 'impression', '8', 241345985L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.150243522108944, False, 'best']
['alexpauwels', 202583255, 'impression', '12', 241347938L, datetime.datetime(2013, 5, 27, 8, 49, 25), 0.111005970965662, False, 'best']

