['itaax', 202583127, 'impression', '4', 241334290L, datetime.datetime(2013, 5, 26, 22, 26, 44), 0.0960608480044653, False, 'time']
['itaax', 202583127, 'impression', '5', 241332688L, datetime.datetime(2013, 5, 26, 22, 26, 44), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'impression', '1', 241344234L, datetime.datetime(2013, 5, 26, 22, 26, 44), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'impression', '3', 241335078L, datetime.datetime(2013, 5, 26, 22, 26, 44), 0.139343947996017, False, 'time']

['itaax', 202583127, 'impression', '3', 241335100L, datetime.datetime(2013, 5, 27, 9, 54, 43), 0.146584224738413, False, 'time']
['itaax', 202583127, 'impression', '1', 241373394L, datetime.datetime(2013, 5, 27, 9, 54, 43), 0.0768520336299547, False, 'time']
['itaax', 202583127, 'impression', '6', 241332688L, datetime.datetime(2013, 5, 27, 9, 54, 43), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'impression', '4', 241335078L, datetime.datetime(2013, 5, 27, 9, 54, 43), 0.139343947996017, False, 'time']
['itaax', 202583127, 'impression', '2', 241344234L, datetime.datetime(2013, 5, 27, 9, 54, 43), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'impression', '7', 241332514L, datetime.datetime(2013, 5, 27, 9, 54, 43), 0.110240582808839, False, 'time']
['itaax', 202583127, 'impression', '5', 241334290L, datetime.datetime(2013, 5, 27, 9, 54, 43), 0.0960608480044653, False, 'time']

['itaax', 202583127, 'impression', '4', 241335078L, datetime.datetime(2013, 5, 27, 20, 37, 35), 0.139343947996017, False, 'time']
['itaax', 202583127, 'impression', '1', 241373394L, datetime.datetime(2013, 5, 27, 20, 37, 35), 0.0768520336299547, False, 'time']
['itaax', 202583127, 'impression', '6', 241332688L, datetime.datetime(2013, 5, 27, 20, 37, 35), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'impression', '3', 241335100L, datetime.datetime(2013, 5, 27, 20, 37, 35), 0.146584224738413, False, 'time']
['itaax', 202583127, 'impression', '7', 241332514L, datetime.datetime(2013, 5, 27, 20, 37, 35), 0.110240582808839, False, 'time']
['itaax', 202583127, 'impression', '2', 241344234L, datetime.datetime(2013, 5, 27, 20, 37, 35), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'impression', '5', 241334290L, datetime.datetime(2013, 5, 27, 20, 37, 35), 0.0960608480044653, False, 'time']

