['orangerockmedia', 202590449, 'impression', '6', 241500100L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.128888902194646, False, 'best']
['orangerockmedia', 202590449, 'impression', '8', 241504878L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.100784473707608, False, 'best']
['orangerockmedia', 202590449, 'impression', '10', 241500029L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.0723626028559213, False, 'best']
['orangerockmedia', 202590449, 'impression', '7', 241502012L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.1266574207709, False, 'best']
['orangerockmedia', 202590449, 'expand_tile', '1', 241500354L, datetime.datetime(2013, 5, 28, 16, 40, 43), 0.264351665585244, False, 'best']
['orangerockmedia', 202590449, 'collapse_tile', '1', 241500354L, datetime.datetime(2013, 5, 28, 16, 40, 47), 0.264351665585244, False, 'best']
['orangerockmedia', 202590449, 'expand_tile', '1', 241500354L, datetime.datetime(2013, 5, 28, 16, 40, 47), 0.264351665585244, False, 'best']
['orangerockmedia', 202590449, 'view_full_application', '1', 241500354L, datetime.datetime(2013, 5, 28, 16, 40, 49), 0.264351665585244, False, 'best']
['orangerockmedia', 202590449, 'impression', '6', 241502012L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.1266574207709, False, 'best']
['orangerockmedia', 202590449, 'impression', '9', 241500029L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.0723626028559213, False, 'best']
['orangerockmedia', 202590449, 'impression', '5', 241500100L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.128888902194646, False, 'best']
['orangerockmedia', 202590449, 'impression', '7', 241504878L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.100784473707608, False, 'best']
['orangerockmedia', 202590449, 'impression', '3', 241500023L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.148441705193093, False, 'best']
['orangerockmedia', 202590449, 'impression', '10', 241502039L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.0677033805745711, False, 'best']
['orangerockmedia', 202590449, 'impression', '8', 241500904L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.0879029580319974, False, 'best']
['orangerockmedia', 202590449, 'impression', '12', 241503609L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.0368906776038627, False, 'best']
['orangerockmedia', 202590449, 'impression', '4', 241500264L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.141627548387823, False, 'best']
['orangerockmedia', 202590449, 'impression', '11', 241503405L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.0574555053758761, False, 'best']
['orangerockmedia', 202590449, 'impression', '2', 241500327L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.159864075681193, False, 'best']
['orangerockmedia', 202590449, 'impression', '1', 241500793L, datetime.datetime(2013, 5, 28, 16, 41, 32), 0.182380919042319, False, 'best']
['orangerockmedia', 202590449, 'impression', '3', 241500023L, datetime.datetime(2013, 5, 28, 16, 41, 33), 0.148441705193093, False, 'best']
['orangerockmedia', 202590449, 'impression', '4', 241500264L, datetime.datetime(2013, 5, 28, 16, 41, 46), 0.141627548387823, False, 'best']
['orangerockmedia', 202590449, 'impression', '4', 241500264L, datetime.datetime(2013, 5, 28, 16, 41, 50), 0.141627548387823, False, 'best']
['orangerockmedia', 202590449, 'impression', '6', 241502012L, datetime.datetime(2013, 5, 28, 16, 42, 7), 0.1266574207709, False, 'best']
['orangerockmedia', 202590449, 'impression', '5', 241500100L, datetime.datetime(2013, 5, 28, 16, 42, 7), 0.128888902194646, False, 'best']
['orangerockmedia', 202590449, 'impression', '5', 241500100L, datetime.datetime(2013, 5, 28, 16, 42, 7), 0.128888902194646, False, 'best']
['orangerockmedia', 202590449, 'impression', '6', 241502012L, datetime.datetime(2013, 5, 28, 16, 42, 10), 0.1266574207709, False, 'best']
['orangerockmedia', 202590449, 'impression', '7', 241504878L, datetime.datetime(2013, 5, 28, 16, 42, 11), 0.100784473707608, False, 'best']
['orangerockmedia', 202590449, 'impression', '7', 241504878L, datetime.datetime(2013, 5, 28, 16, 42, 12), 0.100784473707608, False, 'best']
['orangerockmedia', 202590449, 'impression', '8', 241500904L, datetime.datetime(2013, 5, 28, 16, 42, 13), 0.0879029580319974, False, 'best']
['orangerockmedia', 202590449, 'impression', '8', 241500904L, datetime.datetime(2013, 5, 28, 16, 42, 13), 0.0879029580319974, False, 'best']
['orangerockmedia', 202590449, 'impression', '9', 241500029L, datetime.datetime(2013, 5, 28, 16, 42, 14), 0.0723626028559213, False, 'best']
['orangerockmedia', 202590449, 'impression', '9', 241500029L, datetime.datetime(2013, 5, 28, 16, 42, 14), 0.0723626028559213, False, 'best']
['orangerockmedia', 202590449, 'impression', '10', 241502039L, datetime.datetime(2013, 5, 28, 16, 42, 15), 0.0677033805745711, False, 'best']
['orangerockmedia', 202590449, 'impression', '10', 241502039L, datetime.datetime(2013, 5, 28, 16, 42, 15), 0.0677033805745711, False, 'best']
['orangerockmedia', 202590449, 'impression', '2', 241500327L, datetime.datetime(2013, 5, 28, 16, 42, 16), 0.159864075681193, False, 'best']
['orangerockmedia', 202590449, 'impression', '2', 241500327L, datetime.datetime(2013, 5, 28, 16, 42, 16), 0.159864075681193, False, 'best']
['orangerockmedia', 202590449, 'impression', '2', 241500327L, datetime.datetime(2013, 5, 28, 16, 42, 18), 0.159864075681193, False, 'best']
['orangerockmedia', 202590449, 'impression', '11', 241503405L, datetime.datetime(2013, 5, 28, 16, 42, 19), 0.0574555053758761, False, 'best']
['orangerockmedia', 202590449, 'impression', '11', 241503405L, datetime.datetime(2013, 5, 28, 16, 42, 20), 0.0574555053758761, False, 'best']
['orangerockmedia', 202590449, 'impression', '12', 241503609L, datetime.datetime(2013, 5, 28, 16, 42, 20), 0.0368906776038627, False, 'best']
['orangerockmedia', 202590449, 'impression', '12', 241503609L, datetime.datetime(2013, 5, 28, 16, 42, 21), 0.0368906776038627, False, 'best']
['orangerockmedia', 202590449, 'impression', '1', 241500793L, datetime.datetime(2013, 5, 28, 16, 42, 31), 0.182380919042319, False, 'best']

['orangerockmedia', 202590449, 'impression', '3', 241553892L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.0962715441408344, False, 'best']
['orangerockmedia', 202590449, 'impression', '1', 241500793L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.182380919042319, False, 'best']
['orangerockmedia', 202590449, 'impression', '2', 241500612L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.134927551839696, False, 'best']
['orangerockmedia', 202590449, 'impression', '4', 241506797L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.0810350961302511, False, 'best']
['orangerockmedia', 202590449, 'impression', '7', 241534425L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.0606355080152342, False, 'best']
['orangerockmedia', 202590449, 'impression', '12', 241571021L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.0166959638855449, False, 'best']
['orangerockmedia', 202590449, 'impression', '9', 241560200L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.04445196902795, False, 'best']
['orangerockmedia', 202590449, 'impression', '10', 241513188L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.0278015458768939, False, 'best']
['orangerockmedia', 202590449, 'impression', '8', 241512801L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.0568519400606183, False, 'best']
['orangerockmedia', 202590449, 'impression', '11', 241513164L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.0273232764504701, False, 'best']
['orangerockmedia', 202590449, 'impression', '6', 241520146L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.078990559828653, False, 'best']
['orangerockmedia', 202590449, 'impression', '5', 241507019L, datetime.datetime(2013, 5, 29, 14, 37, 30), 0.0797238526886666, False, 'best']
['orangerockmedia', 202590449, 'view_full_application_via_name', '2', 241500612L, datetime.datetime(2013, 5, 29, 14, 42, 54), 0.134927551839696, False, 'best']
['orangerockmedia', 202590449, 'impression', '7', 241534425L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.0606355080152342, False, 'best']
['orangerockmedia', 202590449, 'impression', '12', 241571021L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.0166959638855449, False, 'best']
['orangerockmedia', 202590449, 'impression', '9', 241560200L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.04445196902795, False, 'best']
['orangerockmedia', 202590449, 'impression', '4', 241506797L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.0810350961302511, False, 'best']
['orangerockmedia', 202590449, 'impression', '6', 241520146L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.078990559828653, False, 'best']
