['gabriel79a', 202541137, 'view_full_application_via_name', '1', 240460949L, datetime.datetime(2013, 5, 15, 16, 29, 1), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240455419L, datetime.datetime(2013, 5, 15, 16, 29, 17), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240460949L, datetime.datetime(2013, 5, 15, 16, 29, 17), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240460580L, datetime.datetime(2013, 5, 15, 16, 29, 17), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460100L, datetime.datetime(2013, 5, 15, 16, 29, 17), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240458115L, datetime.datetime(2013, 5, 15, 16, 29, 17), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240457164L, datetime.datetime(2013, 5, 15, 16, 29, 17), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'view_full_application_via_name', '2', 240460580L, datetime.datetime(2013, 5, 15, 16, 29, 23), 0.141791731208531, False, 'time']

['gabriel79a', 202541137, 'impression', '1', 240471616L, datetime.datetime(2013, 5, 15, 17, 5, 1), 0.307193353390644, False, 'time']
['gabriel79a', 202541137, 'impression', '7', 240457164L, datetime.datetime(2013, 5, 15, 17, 5, 1), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '8', 240455419L, datetime.datetime(2013, 5, 15, 17, 5, 1), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240460580L, datetime.datetime(2013, 5, 15, 17, 5, 1), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460949L, datetime.datetime(2013, 5, 15, 17, 5, 1), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240469937L, datetime.datetime(2013, 5, 15, 17, 5, 1), 0.148656060430242, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240458115L, datetime.datetime(2013, 5, 15, 17, 5, 1), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240460100L, datetime.datetime(2013, 5, 15, 17, 5, 1), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'view_full_application_via_name', '2', 240469937L, datetime.datetime(2013, 5, 15, 17, 5, 57), 0.148656060430242, False, 'time']
['gabriel79a', 202541137, 'impression', '7', 240457164L, datetime.datetime(2013, 5, 15, 17, 7, 1), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240471616L, datetime.datetime(2013, 5, 15, 17, 7, 1), 0.307193353390644, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240469937L, datetime.datetime(2013, 5, 15, 17, 7, 1), 0.148656060430242, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240458115L, datetime.datetime(2013, 5, 15, 17, 7, 1), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240460580L, datetime.datetime(2013, 5, 15, 17, 7, 1), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460949L, datetime.datetime(2013, 5, 15, 17, 7, 1), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '8', 240455419L, datetime.datetime(2013, 5, 15, 17, 7, 1), 0.195356996276039, False, 'time']
