['lebettega', 202558033, 'impression', '10', 240820226L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.123254965190686, False, 'time']
['lebettega', 202558033, 'impression', '11', 240819593L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.060719667024468, False, 'time']
['lebettega', 202558033, 'impression', '7', 240821505L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.139706427765689, False, 'time']
['lebettega', 202558033, 'impression', '5', 240831279L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'impression', '9', 240820481L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.126969276781885, False, 'time']
['lebettega', 202558033, 'impression', '16', 240816037L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.133933490840881, False, 'time']
['lebettega', 202558033, 'impression', '4', 240832301L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.083313400446031, False, 'time']
['lebettega', 202558033, 'impression', '13', 240817616L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.02743233390935, False, 'time']
['lebettega', 202558033, 'impression', '20', 240814609L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.153506192119819, False, 'time']
['lebettega', 202558033, 'impression', '12', 240817741L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.0799427266437891, False, 'time']
['lebettega', 202558033, 'impression', '6', 240826353L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.151995791365776, False, 'time']
['lebettega', 202558033, 'impression', '8', 240821149L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.0471770503079671, False, 'time']
['lebettega', 202558033, 'impression', '18', 240815367L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.152695473605036, False, 'time']
['lebettega', 202558033, 'impression', '3', 240832902L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.0184607638333415, False, 'time']
['lebettega', 202558033, 'impression', '15', 240817546L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.0741269182595835, False, 'time']
['lebettega', 202558033, 'impression', '1', 240834793L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.139157013188456, False, 'time']
['lebettega', 202558033, 'impression', '19', 240814960L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.141884401564396, False, 'time']
['lebettega', 202558033, 'impression', '1', 240834793L, datetime.datetime(2013, 5, 21, 0, 14, 35), 0.139157013188456, False, 'time']
['lebettega', 202558033, 'impression', '1', 240834793L, datetime.datetime(2013, 5, 21, 0, 14, 36), 0.139157013188456, False, 'time']
['lebettega', 202558033, 'impression', '2', 240833491L, datetime.datetime(2013, 5, 21, 0, 14, 37), 0.112720527913963, False, 'time']
['lebettega', 202558033, 'expand_tile', '2', 240833491L, datetime.datetime(2013, 5, 21, 0, 16, 48), 0.112720527913963, False, 'time']
['lebettega', 202558033, 'view_full_application', '2', 240833491L, datetime.datetime(2013, 5, 21, 0, 16, 51), 0.112720527913963, False, 'time']
['lebettega', 202558033, 'impression', '18', 240814960L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.141884401564396, False, 'time']
['lebettega', 202558033, 'impression', '10', 240819593L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.060719667024468, False, 'time']
['lebettega', 202558033, 'impression', '6', 240821505L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.139706427765689, False, 'time']
['lebettega', 202558033, 'impression', '13', 240817585L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.0511821663702282, False, 'time']
['lebettega', 202558033, 'impression', '9', 240820226L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.123254965190686, False, 'time']
['lebettega', 202558033, 'impression', '1', 240833491L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.112720527913963, False, 'time']
['lebettega', 202558033, 'impression', '14', 240817546L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.0741269182595835, False, 'time']
['lebettega', 202558033, 'impression', '2', 240832902L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.0184607638333415, False, 'time']
['lebettega', 202558033, 'impression', '2', 240832902L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.0184607638333415, False, 'time']
['lebettega', 202558033, 'impression', '2', 240832902L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.0184607638333415, False, 'time']
['lebettega', 202558033, 'impression', '12', 240817616L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.02743233390935, False, 'time']
['lebettega', 202558033, 'impression', '11', 240817741L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.0799427266437891, False, 'time']
['lebettega', 202558033, 'impression', '19', 240814609L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.153506192119819, False, 'time']
['lebettega', 202558033, 'impression', '16', 240815785L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.130193752627279, False, 'time']
['lebettega', 202558033, 'impression', '15', 240816037L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.133933490840881, False, 'time']
['lebettega', 202558033, 'impression', '3', 240832301L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.083313400446031, False, 'time']
['lebettega', 202558033, 'impression', '8', 240820481L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.126969276781885, False, 'time']
['lebettega', 202558033, 'impression', '4', 240831279L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'impression', '5', 240826353L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.151995791365776, False, 'time']
['lebettega', 202558033, 'impression', '7', 240821149L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.0471770503079671, False, 'time']
['lebettega', 202558033, 'impression', '20', 240814539L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.0978022170191492, False, 'time']
['lebettega', 202558033, 'impression', '17', 240815367L, datetime.datetime(2013, 5, 21, 0, 18, 46), 0.152695473605036, False, 'time']
['lebettega', 202558033, 'impression', '1', 240833491L, datetime.datetime(2013, 5, 21, 0, 18, 47), 0.112720527913963, False, 'time']
['lebettega', 202558033, 'expand_tile', '2', 240832902L, datetime.datetime(2013, 5, 21, 0, 19, 1), 0.0184607638333415, False, 'time']
['lebettega', 202558033, 'impression', '2', 240832902L, datetime.datetime(2013, 5, 21, 0, 19, 7), 0.0184607638333415, False, 'time']
['lebettega', 202558033, 'collapse_tile', '2', 240832902L, datetime.datetime(2013, 5, 21, 0, 19, 7), 0.0184607638333415, False, 'time']
['lebettega', 202558033, 'expand_tile', '3', 240832301L, datetime.datetime(2013, 5, 21, 0, 19, 9), 0.083313400446031, False, 'time']
['lebettega', 202558033, 'impression', '3', 240832301L, datetime.datetime(2013, 5, 21, 0, 19, 9), 0.083313400446031, False, 'time']
['lebettega', 202558033, 'collapse_tile', '3', 240832301L, datetime.datetime(2013, 5, 21, 0, 19, 12), 0.083313400446031, False, 'time']
