['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743611L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240743547L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240746038L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743245L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743367L, datetime.datetime(2013, 5, 19, 9, 4, 32), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743367L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743245L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240746038L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746821L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.0350971383514734, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240743547L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743611L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 9, 4, 40), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'view_full_application_via_name', '5', 240746038L, datetime.datetime(2013, 5, 19, 9, 5, 7), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743611L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240743547L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746821L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.0350971383514734, False, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743367L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240746038L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743245L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 9, 8, 56), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'view_full_application_via_name', '5', 240746038L, datetime.datetime(2013, 5, 19, 9, 9, 6), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240746038L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743245L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240743547L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743611L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743367L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746821L, datetime.datetime(2013, 5, 19, 9, 9, 10), 0.0350971383514734, False, 'best']

['brandon-glasgow', 202554898, 'impression', '11', 240743367L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240746821L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0350971383514734, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240744255L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743202L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240742816L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.01972433367857, False, 'best']
['brandon-glasgow', 202554898, 'impression', '2', 240743280L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240755528L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0886524247408104, False, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743245L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746038L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240743619L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '12', 240743547L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743611L, datetime.datetime(2013, 5, 19, 16, 56, 5), 0.0320312813523855, False, 'best']

['brandon-glasgow', 202554898, 'impression', '6', 240746038L, datetime.datetime(2013, 5, 20, 0, 4, 4), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743245L, datetime.datetime(2013, 5, 20, 0, 4, 4), 0.0226939680700121, False, 'best']
