['akcan_marco', 202576497, 'impression', '3', 241188096L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.103219131626331, False, 'time']
['akcan_marco', 202576497, 'impression', '16', 241183770L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0568835779056755, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241187160L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0576310265381525, False, 'time']
['akcan_marco', 202576497, 'impression', '1', 241188694L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.051404576767918, False, 'time']
['akcan_marco', 202576497, 'impression', '6', 241187072L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0549396385313369, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '1', 241188694L, datetime.datetime(2013, 5, 24, 11, 37, 7), 0.051404576767918, False, 'time']
['akcan_marco', 202576497, 'impression', '1', 241188694L, datetime.datetime(2013, 5, 24, 11, 37, 24), 0.051404576767918, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '5', 241187160L, datetime.datetime(2013, 5, 24, 11, 37, 28), 0.0576310265381525, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241187160L, datetime.datetime(2013, 5, 24, 11, 37, 38), 0.0576310265381525, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '5', 241187160L, datetime.datetime(2013, 5, 24, 11, 37, 40), 0.0576310265381525, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '7', 241187031L, datetime.datetime(2013, 5, 24, 11, 37, 43), 0.0840140085852754, False, 'time']
['akcan_marco', 202576497, 'send_message', '7', 241187031L, datetime.datetime(2013, 5, 24, 11, 38, 15), 0.0840140085852754, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '9', 241186730L, datetime.datetime(2013, 5, 24, 11, 38, 24), 0.0343668008366018, False, 'time']
['akcan_marco', 202576497, 'send_message', '9', 241186730L, datetime.datetime(2013, 5, 24, 11, 38, 41), 0.0343668008366018, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '9', 241186730L, datetime.datetime(2013, 5, 24, 11, 38, 48), 0.0343668008366018, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '10', 241186636L, datetime.datetime(2013, 5, 24, 11, 38, 51), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'view_full_application', '10', 241186636L, datetime.datetime(2013, 5, 24, 11, 39, 23), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'view_full_application', '10', 241186636L, datetime.datetime(2013, 5, 24, 11, 39, 28), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'impression', '15', 241183770L, datetime.datetime(2013, 5, 24, 11, 41), 0.0568835779056755, False, 'time']
['akcan_marco', 202576497, 'impression', '4', 241187692L, datetime.datetime(2013, 5, 24, 11, 41), 0.0602793783887074, False, 'time']
['akcan_marco', 202576497, 'impression', '9', 241186636L, datetime.datetime(2013, 5, 24, 11, 41), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'impression', '14', 241184014L, datetime.datetime(2013, 5, 24, 11, 41), 0.0457262308621299, False, 'time']
['akcan_marco', 202576497, 'impression', '19', 241182978L, datetime.datetime(2013, 5, 24, 11, 41), 0.0760224184317806, False, 'time']
['akcan_marco', 202576497, 'impression', '20', 241182858L, datetime.datetime(2013, 5, 24, 11, 41), 0.026846169016612, False, 'time']
