['vince32', 202546163, 'hide', '4', 240568361L, datetime.datetime(2013, 5, 16, 22, 8, 2), 0.525612961645543, False, 'best']
['vince32', 202546163, 'view_full_application_via_name', '5', 240570501L, datetime.datetime(2013, 5, 16, 22, 8, 7), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 16, 22, 32, 50), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 16, 22, 32, 50), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '6', 240573544L, datetime.datetime(2013, 5, 16, 22, 32, 50), 0.468676621305317, False, 'best']
['vince32', 202546163, 'impression', '5', 240572908L, datetime.datetime(2013, 5, 16, 22, 32, 50), 0.376145406069356, False, 'best']
['vince32', 202546163, 'impression', '3', 240567469L, datetime.datetime(2013, 5, 16, 22, 32, 50), 0.399767444293596, False, 'best']
['vince32', 202546163, 'impression', '4', 240570501L, datetime.datetime(2013, 5, 16, 22, 32, 50), 0.315170405392125, False, 'best']
['vince32', 202546163, 'hide', '5', 240572908L, datetime.datetime(2013, 5, 16, 22, 32, 56), 0.376145406069356, False, 'best']
['vince32', 202546163, 'expand_tile', '6', 240573544L, datetime.datetime(2013, 5, 16, 22, 33, 1), 0.468676621305317, False, 'best']
['vince32', 202546163, 'hide', '6', 240573544L, datetime.datetime(2013, 5, 16, 22, 33, 16), 0.468676621305317, False, 'best']
['vince32', 202546163, 'expand_tile', '6', 240573544L, datetime.datetime(2013, 5, 16, 22, 33, 16), 0.468676621305317, False, 'best']

['vince32', 202546163, 'impression', '6', 240583460L, datetime.datetime(2013, 5, 17, 0, 50, 58), 0.338390462471844, False, 'best']
['vince32', 202546163, 'impression', '3', 240567469L, datetime.datetime(2013, 5, 17, 0, 50, 58), 0.399767444293596, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 17, 0, 50, 58), 0.450109116572568, False, 'best']
