['wierzo', 202575381, 'impression', '1', 241158377L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.384340985499751, False, 'best']
['wierzo', 202575381, 'impression', '14', 241150653L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.0371599450989809, False, 'best']
['wierzo', 202575381, 'impression', '11', 241151830L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.0652975363388744, False, 'best']
['wierzo', 202575381, 'impression', '13', 241150613L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.0518579956135028, False, 'best']
['wierzo', 202575381, 'impression', '10', 241163066L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.0689529762328789, False, 'best']
['wierzo', 202575381, 'impression', '5', 241164349L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.129485316822457, False, 'best']
['wierzo', 202575381, 'impression', '8', 241186052L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.0750206663097279, False, 'best']

['wierzo', 202575381, 'impression', '4', 241162456L, datetime.datetime(2013, 5, 28, 15, 45, 54), 0.0871610079234494, False, 'best']
['wierzo', 202575381, 'impression', '7', 241165055L, datetime.datetime(2013, 5, 28, 15, 45, 54), 0.0561233150653345, False, 'best']
['wierzo', 202575381, 'impression', '1', 241158377L, datetime.datetime(2013, 5, 28, 15, 45, 54), 0.384340985499751, False, 'best']
['wierzo', 202575381, 'impression', '3', 241195567L, datetime.datetime(2013, 5, 28, 15, 45, 54), 0.103069894534002, False, 'best']
['wierzo', 202575381, 'impression', '2', 241173890L, datetime.datetime(2013, 5, 28, 15, 45, 54), 0.148258499410709, False, 'best']
['wierzo', 202575381, 'impression', '9', 241150653L, datetime.datetime(2013, 5, 28, 15, 45, 54), 0.0371599450989809, False, 'best']
['wierzo', 202575381, 'impression', '8', 241150613L, datetime.datetime(2013, 5, 28, 15, 45, 54), 0.0518579956135028, False, 'best']
['wierzo', 202575381, 'impression', '5', 241163066L, datetime.datetime(2013, 5, 28, 15, 45, 54), 0.0689529762328789, False, 'best']
['wierzo', 202575381, 'impression', '6', 241151830L, datetime.datetime(2013, 5, 28, 15, 45, 54), 0.0652975363388744, False, 'best']
['wierzo', 202575381, 'impression', '1', 241158377L, datetime.datetime(2013, 5, 28, 15, 46, 12), 0.384340985499751, False, 'best']
['wierzo', 202575381, 'impression', '8', 241150613L, datetime.datetime(2013, 5, 28, 15, 46, 33), 0.0518579956135028, False, 'best']

