['johna2', 202575394, 'impression', '7', 241151844L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.10962437610045, False, 'best']
['johna2', 202575394, 'impression', '5', 241154434L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.189852225337762, False, 'best']
['johna2', 202575394, 'impression', '4', 241151240L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.195694903492859, True, 'best']
['johna2', 202575394, 'impression', '2', 241161656L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.222117514674337, False, 'best']
['johna2', 202575394, 'impression', '1', 241150625L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.230531444558343, False, 'best']
['johna2', 202575394, 'impression', '3', 241150561L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.212443308108993, False, 'best']
['johna2', 202575394, 'view_full_application_via_message', '3', 241150561L, datetime.datetime(2013, 5, 24, 5, 31, 18), 0.212443308108993, False, 'best']
['johna2', 202575394, 'impression', '6', 241150719L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.173539680890844, False, 'best']
['johna2', 202575394, 'impression', '9', 241150632L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.101558285952034, False, 'best']
['johna2', 202575394, 'impression', '11', 241159692L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.0604705652692431, True, 'best']
['johna2', 202575394, 'impression', '8', 241151014L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.107848495123776, False, 'best']
['johna2', 202575394, 'impression', '10', 241152411L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.0850967735974175, False, 'best']
['johna2', 202575394, 'impression', '7', 241151844L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.10962437610045, False, 'best']
['johna2', 202575394, 'impression', '5', 241154434L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.189852225337762, False, 'best']
['johna2', 202575394, 'impression', '2', 241161656L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.222117514674337, False, 'best']
['johna2', 202575394, 'impression', '1', 241150625L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.230531444558343, False, 'best']
['johna2', 202575394, 'impression', '3', 241150561L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.212443308108993, False, 'best']
['johna2', 202575394, 'impression', '4', 241151240L, datetime.datetime(2013, 5, 24, 5, 31, 30), 0.195694903492859, True, 'best']
['johna2', 202575394, 'view_full_application_via_message', '1', 241150625L, datetime.datetime(2013, 5, 24, 5, 31, 32), 0.230531444558343, False, 'best']
['johna2', 202575394, 'impression', '8', 241151014L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.107848495123776, False, 'best']
['johna2', 202575394, 'impression', '9', 241150632L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.101558285952034, False, 'best']
['johna2', 202575394, 'impression', '11', 241159692L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.0604705652692431, True, 'best']
['johna2', 202575394, 'impression', '5', 241154434L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.189852225337762, False, 'best']
['johna2', 202575394, 'impression', '7', 241151844L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.10962437610045, False, 'best']
['johna2', 202575394, 'impression', '1', 241150625L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.230531444558343, False, 'best']
['johna2', 202575394, 'impression', '3', 241150561L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.212443308108993, False, 'best']
['johna2', 202575394, 'impression', '2', 241161656L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.222117514674337, False, 'best']
['johna2', 202575394, 'impression', '4', 241151240L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.195694903492859, True, 'best']
['johna2', 202575394, 'impression', '10', 241152411L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.0850967735974175, False, 'best']
['johna2', 202575394, 'impression', '6', 241150719L, datetime.datetime(2013, 5, 24, 5, 31, 38), 0.173539680890844, False, 'best']
['johna2', 202575394, 'impression', '13', 241159692L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.0604705652692431, True, 'best']
['johna2', 202575394, 'impression', '10', 241150632L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.101558285952034, False, 'best']
['johna2', 202575394, 'impression', '9', 241151014L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.107848495123776, False, 'best']
['johna2', 202575394, 'impression', '8', 241151844L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.10962437610045, False, 'best']
['johna2', 202575394, 'impression', '6', 241154434L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.189852225337762, False, 'best']
['johna2', 202575394, 'impression', '11', 241151626L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.0973071257765035, False, 'best']
['johna2', 202575394, 'impression', '12', 241152411L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.0850967735974175, False, 'best']
['johna2', 202575394, 'impression', '1', 241150296L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.568752815146282, False, 'best']
['johna2', 202575394, 'impression', '7', 241150719L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.173539680890844, False, 'best']
['johna2', 202575394, 'impression', '5', 241151240L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.195694903492859, True, 'best']
['johna2', 202575394, 'impression', '2', 241150625L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.230531444558343, False, 'best']
['johna2', 202575394, 'impression', '4', 241150561L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.212443308108993, False, 'best']
['johna2', 202575394, 'impression', '3', 241161656L, datetime.datetime(2013, 5, 24, 5, 35, 6), 0.222117514674337, False, 'best']
