['crazydollardeals', 202543862, 'impression', '7', 240504235L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240514435L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'impression', '10', 240503550L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240514563L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.16857745356787, False, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240509933L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'impression', '11', 240503361L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240504286L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '8', 240504177L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240514321L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.086502608657681, False, 'time']
['crazydollardeals', 202543862, 'shortlist', '9', 240504048L, datetime.datetime(2013, 5, 16, 6, 57, 6), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', None, 240504048L, datetime.datetime(2013, 5, 16, 6, 57, 7), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '9', 240504048L, datetime.datetime(2013, 5, 16, 6, 57, 7), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'expand_tile', '2', 240514435L, datetime.datetime(2013, 5, 16, 6, 57, 29), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'collapse_tile', '2', 240514435L, datetime.datetime(2013, 5, 16, 6, 57, 45), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'expand_tile', '2', 240514435L, datetime.datetime(2013, 5, 16, 6, 58, 3), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'view_full_application', '2', 240514435L, datetime.datetime(2013, 5, 16, 6, 58, 5), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240509933L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240514321L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.086502608657681, False, 'time']
['crazydollardeals', 202543862, 'impression', '8', 240504177L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240504286L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240514563L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.16857745356787, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240510192L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.254132114717294, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240514435L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'impression', '9', 240504048L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '7', 240504235L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '10', 240503550L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'impression', '11', 240503361L, datetime.datetime(2013, 5, 16, 7, 1, 47), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240514435L, datetime.datetime(2013, 5, 16, 7, 1, 54), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'impression', None, 240514435L, datetime.datetime(2013, 5, 16, 7, 1, 54), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'shortlist', '2', 240514435L, datetime.datetime(2013, 5, 16, 7, 1, 54), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'expand_tile', '2', 240514435L, datetime.datetime(2013, 5, 16, 7, 1, 59), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'send_message', '2', 240514435L, datetime.datetime(2013, 5, 16, 7, 2, 3), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'view_full_application_via_name', '9', 240504048L, datetime.datetime(2013, 5, 16, 7, 5, 8), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240514563L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.16857745356787, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240504286L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '7', 240504235L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '10', 240503550L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'impression', '9', 240504048L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240514435L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240510192L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.254132114717294, False, 'time']
['crazydollardeals', 202543862, 'impression', '8', 240504177L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240514321L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.086502608657681, False, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240509933L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'impression', '11', 240503361L, datetime.datetime(2013, 5, 16, 7, 5, 41), 0.0570798921635452, False, 'time']

['crazydollardeals', 202543862, 'impression', '9', 240522902L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.243776683097144, False, 'time']
['crazydollardeals', 202543862, 'impression', '16', 240504286L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240542236L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.081321602568483, False, 'time']
['crazydollardeals', 202543862, 'impression', '15', 240509933L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'impression', '7', 240525363L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.050846778949115, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240533241L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.0969117986856607, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240541764L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.085100615584787, False, 'time']
['crazydollardeals', 202543862, 'impression', '8', 240524683L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.0611946933379737, False, 'time']
['crazydollardeals', 202543862, 'impression', '10', 240519380L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.322517746373968, False, 'time']
['crazydollardeals', 202543862, 'impression', '12', 240514435L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'impression', '14', 240510192L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.254132114717294, False, 'time']
['crazydollardeals', 202543862, 'impression', '17', 240504235L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '20', 240503550L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'impression', '19', 240504048L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '18', 240504177L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240543672L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.171867555340611, False, 'time']
['crazydollardeals', 202543862, 'impression', '13', 240514321L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.086502608657681, False, 'time']
['crazydollardeals', 202543862, 'impression', '11', 240514563L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.16857745356787, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240525824L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.0709327024671827, False, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240525904L, datetime.datetime(2013, 5, 16, 13, 45, 34), 0.117326042610104, False, 'time']
['crazydollardeals', 202543862, 'view_full_application', '3', 240541764L, datetime.datetime(2013, 5, 16, 13, 57, 12), 0.085100615584787, False, 'time']

['crazydollardeals', 202543862, 'impression', '2', 240542236L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.081321602568483, False, 'time']
['crazydollardeals', 202543862, 'impression', '16', 240504286L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.236897630884562, False, 'time']
