['lumixkina', 202562296, 'expand_tile', '15', 240901636L, datetime.datetime(2013, 5, 21, 12, 11, 20), 0.0958814442573352, False, 'time']
['lumixkina', 202562296, 'expand_tile', '16', 240901347L, datetime.datetime(2013, 5, 21, 12, 11, 21), 0.115490600393384, False, 'time']
['lumixkina', 202562296, 'send_message', '16', 240901347L, datetime.datetime(2013, 5, 21, 12, 11, 24), 0.115490600393384, False, 'time']
['lumixkina', 202562296, 'expand_tile', '16', 240901347L, datetime.datetime(2013, 5, 21, 12, 11, 25), 0.115490600393384, False, 'time']
['lumixkina', 202562296, 'impression', '18', 240900931L, datetime.datetime(2013, 5, 21, 12, 11, 26), 0.052003607322313, False, 'time']
['lumixkina', 202562296, 'expand_tile', '17', 240901128L, datetime.datetime(2013, 5, 21, 12, 11, 27), 0.387036504302454, False, 'time']
['lumixkina', 202562296, 'send_message', '17', 240901128L, datetime.datetime(2013, 5, 21, 12, 11, 29), 0.387036504302454, False, 'time']
['lumixkina', 202562296, 'expand_tile', '17', 240901128L, datetime.datetime(2013, 5, 21, 12, 11, 30), 0.387036504302454, False, 'time']
['lumixkina', 202562296, 'expand_tile', '18', 240900931L, datetime.datetime(2013, 5, 21, 12, 11, 31), 0.052003607322313, False, 'time']
['lumixkina', 202562296, 'send_message', '18', 240900931L, datetime.datetime(2013, 5, 21, 12, 11, 33), 0.052003607322313, False, 'time']
['lumixkina', 202562296, 'expand_tile', '18', 240900931L, datetime.datetime(2013, 5, 21, 12, 11, 34), 0.052003607322313, False, 'time']
['lumixkina', 202562296, 'impression', '20', 240900572L, datetime.datetime(2013, 5, 21, 12, 11, 35), 0.0637864045226708, False, 'time']
['lumixkina', 202562296, 'expand_tile', '19', 240900580L, datetime.datetime(2013, 5, 21, 12, 11, 36), 0.119927904878808, False, 'time']
['lumixkina', 202562296, 'send_message', '19', 240900580L, datetime.datetime(2013, 5, 21, 12, 11, 37), 0.119927904878808, False, 'time']
['lumixkina', 202562296, 'expand_tile', '19', 240900580L, datetime.datetime(2013, 5, 21, 12, 11, 39), 0.119927904878808, False, 'time']
['lumixkina', 202562296, 'expand_tile', '20', 240900572L, datetime.datetime(2013, 5, 21, 12, 11, 40), 0.0637864045226708, False, 'time']
['lumixkina', 202562296, 'send_message', '20', 240900572L, datetime.datetime(2013, 5, 21, 12, 11, 42), 0.0637864045226708, False, 'time']
['lumixkina', 202562296, 'expand_tile', '20', 240900572L, datetime.datetime(2013, 5, 21, 12, 11, 43), 0.0637864045226708, False, 'time']

