['gladfield', 202583235, 'impression', '19', 241336355L, datetime.datetime(2013, 5, 26, 20, 3, 5), 0.0553906646227118, False, 'best']
['gladfield', 202583235, 'impression', '7', 241335468L, datetime.datetime(2013, 5, 26, 20, 3, 5), 0.0956365250137875, False, 'best']
['gladfield', 202583235, 'impression', '5', 241335269L, datetime.datetime(2013, 5, 26, 20, 3, 5), 0.0968595464223935, False, 'best']
['gladfield', 202583235, 'impression', '9', 241336922L, datetime.datetime(2013, 5, 26, 20, 3, 5), 0.0901290629307515, False, 'best']
['gladfield', 202583235, 'impression', '13', 241337309L, datetime.datetime(2013, 5, 26, 20, 3, 5), 0.0666763340467887, False, 'best']
['gladfield', 202583235, 'impression', '10', 241335950L, datetime.datetime(2013, 5, 26, 20, 3, 5), 0.086843780364025, False, 'best']
['gladfield', 202583235, 'impression', '20', 241348784L, datetime.datetime(2013, 5, 26, 20, 3, 5), 0.0546414228578011, False, 'best']
['gladfield', 202583235, 'impression', '15', 241337942L, datetime.datetime(2013, 5, 26, 20, 3, 5), 0.0609017720656773, False, 'best']
['gladfield', 202583235, 'impression', '3', 241344182L, datetime.datetime(2013, 5, 26, 20, 3, 5), 0.125561571650454, False, 'best']
['gladfield', 202583235, 'impression', '7', 241335468L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0956365250137875, False, 'best']
['gladfield', 202583235, 'impression', '3', 241344182L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.125561571650454, False, 'best']
['gladfield', 202583235, 'impression', '10', 241335950L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.086843780364025, False, 'best']
['gladfield', 202583235, 'impression', '5', 241335269L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0968595464223935, False, 'best']
['gladfield', 202583235, 'impression', '15', 241337942L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0609017720656773, False, 'best']
['gladfield', 202583235, 'impression', '13', 241337309L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0666763340467887, False, 'best']
['gladfield', 202583235, 'impression', '9', 241336922L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0901290629307515, False, 'best']
['gladfield', 202583235, 'impression', '20', 241348784L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0546414228578011, False, 'best']
['gladfield', 202583235, 'impression', '2', 241336988L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.128630260824933, False, 'best']
['gladfield', 202583235, 'impression', '12', 241335563L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0680723099138791, False, 'best']
['gladfield', 202583235, 'impression', '11', 241334551L, datetime.datetime(2013, 5, 26, 20, 3, 33), 0.0741833219330589, False, 'best']
