['gerda-muller', 202572079, 'impression', '9', 241089256L, datetime.datetime(2013, 5, 23, 10, 34, 56), 0.160592297482508, False, 'time']
['gerda-muller', 202572079, 'impression', '20', 241087267L, datetime.datetime(2013, 5, 23, 10, 34, 56), 0.162382419564534, False, 'time']
['gerda-muller', 202572079, 'impression', '13', 241088781L, datetime.datetime(2013, 5, 23, 10, 34, 56), 0.0705262179495269, False, 'time']
['gerda-muller', 202572079, 'impression', '7', 241090561L, datetime.datetime(2013, 5, 23, 10, 34, 56), 0.0759362161509553, False, 'time']
['gerda-muller', 202572079, 'impression', '11', 241088814L, datetime.datetime(2013, 5, 23, 10, 34, 56), 0.0490383206570077, False, 'time']
['gerda-muller', 202572079, 'expand_tile', '8', 241089658L, datetime.datetime(2013, 5, 23, 10, 35, 18), 0.18446666974675, False, 'time']
['gerda-muller', 202572079, 'view_full_application', '8', 241089658L, datetime.datetime(2013, 5, 23, 10, 35, 40), 0.18446666974675, False, 'time']
['gerda-muller', 202572079, 'impression', '14', 241088645L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.0529100375582792, False, 'time']
['gerda-muller', 202572079, 'impression', '10', 241088994L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.052557998680576, False, 'time']
['gerda-muller', 202572079, 'impression', '16', 241088364L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.203981567770176, False, 'time']
['gerda-muller', 202572079, 'impression', '5', 241092070L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.0878646446010638, False, 'time']
['gerda-muller', 202572079, 'impression', '15', 241088589L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.0597009240833708, False, 'time']
['gerda-muller', 202572079, 'impression', '19', 241087576L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.10089227101201, False, 'time']
['gerda-muller', 202572079, 'impression', '4', 241092373L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.110458453716934, False, 'time']
['gerda-muller', 202572079, 'impression', '18', 241087811L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.17228334090486, False, 'time']
['gerda-muller', 202572079, 'impression', '17', 241087923L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.127212867976199, True, 'time']
['gerda-muller', 202572079, 'impression', '11', 241088814L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.0490383206570077, False, 'time']
['gerda-muller', 202572079, 'impression', '7', 241090561L, datetime.datetime(2013, 5, 23, 10, 37, 22), 0.0759362161509553, False, 'time']
