['leon740gk', 202540118, 'impression', '3', 240435878L, datetime.datetime(2013, 5, 15, 11, 7, 11), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240435730L, datetime.datetime(2013, 5, 15, 11, 7, 11), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240441619L, datetime.datetime(2013, 5, 15, 11, 7, 11), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'view_full_application_via_message', '2', 240441619L, datetime.datetime(2013, 5, 15, 11, 7, 25), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240434073L, datetime.datetime(2013, 5, 15, 11, 7, 32), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240435878L, datetime.datetime(2013, 5, 15, 11, 7, 32), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240435730L, datetime.datetime(2013, 5, 15, 11, 7, 32), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240441619L, datetime.datetime(2013, 5, 15, 11, 7, 32), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'expand_tile', '1', 240444623L, datetime.datetime(2013, 5, 15, 11, 7, 32), 0.041743043579629, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240444623L, datetime.datetime(2013, 5, 15, 11, 7, 32), 0.041743043579629, False, 'time']
['leon740gk', 202540118, 'view_full_application_via_name', '1', 240444623L, datetime.datetime(2013, 5, 15, 11, 7, 35), 0.041743043579629, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240441619L, datetime.datetime(2013, 5, 15, 11, 13, 42), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240435730L, datetime.datetime(2013, 5, 15, 11, 13, 42), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240444623L, datetime.datetime(2013, 5, 15, 11, 13, 42), 0.041743043579629, False, 'time']
