['kerriho', 202585047, 'impression', '14', 241381878L, datetime.datetime(2013, 5, 27, 23, 30, 43), 0.24907224605492, False, 'time']
['kerriho', 202585047, 'impression', '3', 241394903L, datetime.datetime(2013, 5, 27, 23, 30, 46), 0.201727937884566, False, 'time']
['kerriho', 202585047, 'impression', '3', 241394903L, datetime.datetime(2013, 5, 27, 23, 30, 47), 0.201727937884566, False, 'time']
['kerriho', 202585047, 'shortlist', '3', 241394903L, datetime.datetime(2013, 5, 27, 23, 30, 53), 0.201727937884566, False, 'time']
['kerriho', 202585047, 'expand_tile', '4', 241392988L, datetime.datetime(2013, 5, 27, 23, 30, 58), 0.619306784148287, False, 'time']
['kerriho', 202585047, 'view_full_application', '4', 241392988L, datetime.datetime(2013, 5, 27, 23, 32, 21), 0.619306784148287, False, 'time']
['kerriho', 202585047, 'impression', '1', 241423740L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '6', 241390735L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.132253965517824, False, 'time']
['kerriho', 202585047, 'impression', '9', 241388972L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.11106817493801, False, 'time']
['kerriho', 202585047, 'impression', '4', 241392988L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.619306784148287, False, 'time']
['kerriho', 202585047, 'impression', '3', 241394903L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.201727937884566, False, 'time']
['kerriho', 202585047, 'impression', '16', 241381117L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.40424874166528, False, 'time']
['kerriho', 202585047, 'impression', '15', 241381692L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.231955611115261, False, 'time']
['kerriho', 202585047, 'impression', '7', 241389077L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.305816025319393, False, 'time']
['kerriho', 202585047, 'impression', '20', 241377953L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.352512722867672, False, 'time']
