['bryantwaters', 202538759, 'collapse_tile', '14', 240408786L, datetime.datetime(2013, 5, 16, 19, 58, 53), 0.104979706978872, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '15', 240456700L, datetime.datetime(2013, 5, 16, 19, 59, 6), 0.0990132246524844, False, 'best']
['bryantwaters', 202538759, 'shortlist', '15', 240456700L, datetime.datetime(2013, 5, 16, 19, 59, 12), 0.0990132246524844, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '15', 240456700L, datetime.datetime(2013, 5, 16, 19, 59, 12), 0.0990132246524844, False, 'best']
['bryantwaters', 202538759, 'hide', '18', 240409171L, datetime.datetime(2013, 5, 16, 19, 59, 36), 0.0925009486790578, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '19', 240402237L, datetime.datetime(2013, 5, 16, 19, 59, 43), 0.0890139032414161, False, 'best']
['bryantwaters', 202538759, 'collapse_tile', '19', 240402237L, datetime.datetime(2013, 5, 16, 20, 0), 0.0890139032414161, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '21', 240414527L, datetime.datetime(2013, 5, 16, 20, 0, 12), 0.0858613867986771, False, 'best']
['bryantwaters', 202538759, 'hide', '21', 240414527L, datetime.datetime(2013, 5, 16, 20, 0, 31), 0.0858613867986771, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '21', 240414527L, datetime.datetime(2013, 5, 16, 20, 0, 32), 0.0858613867986771, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '23', 240403072L, datetime.datetime(2013, 5, 16, 20, 0, 41), 0.08098857212605, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '23', 240403072L, datetime.datetime(2013, 5, 16, 20, 0, 53), 0.08098857212605, False, 'best']
['bryantwaters', 202538759, 'shortlist', '23', 240403072L, datetime.datetime(2013, 5, 16, 20, 0, 53), 0.08098857212605, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '24', 240426865L, datetime.datetime(2013, 5, 16, 20, 0, 56), 0.0752552186361563, False, 'best']
['bryantwaters', 202538759, 'collapse_tile', '24', 240426865L, datetime.datetime(2013, 5, 16, 20, 0, 56), 0.0752552186361563, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '24', 240426865L, datetime.datetime(2013, 5, 16, 20, 0, 58), 0.0752552186361563, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '24', 240426865L, datetime.datetime(2013, 5, 16, 20, 1, 7), 0.0752552186361563, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '25', 240402038L, datetime.datetime(2013, 5, 16, 20, 1, 13), 0.0698522769935334, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '26', 240429109L, datetime.datetime(2013, 5, 16, 20, 1, 39), 0.0490783264355566, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '26', 240429109L, datetime.datetime(2013, 5, 16, 20, 2, 3), 0.0490783264355566, False, 'best']
['bryantwaters', 202538759, 'shortlist', '26', 240429109L, datetime.datetime(2013, 5, 16, 20, 2, 3), 0.0490783264355566, False, 'best']

['bryantwaters', 202538759, 'impression', '14', 240441561L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0721712797309902, False, 'best']
['bryantwaters', 202538759, 'impression', '8', 240433422L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0954261662772324, False, 'best']
['bryantwaters', 202538759, 'impression', '17', 240461625L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0484073848129321, False, 'best']
['bryantwaters', 202538759, 'impression', '19', 240428422L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0172566339756772, False, 'best']
['bryantwaters', 202538759, 'impression', '1', 240400990L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.17812259859992, True, 'best']
['bryantwaters', 202538759, 'impression', '9', 240402237L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0890139032414161, False, 'best']
['bryantwaters', 202538759, 'impression', '18', 240401169L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0404930026695809, False, 'best']
['bryantwaters', 202538759, 'impression', '12', 240445144L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0789465060064922, False, 'best']
['bryantwaters', 202538759, 'impression', '6', 240437035L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.112336437193965, False, 'best']
['bryantwaters', 202538759, 'impression', '16', 240406232L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0694959785727337, False, 'best']
['bryantwaters', 202538759, 'impression', '10', 240425102L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0847028549011691, False, 'best']
['bryantwaters', 202538759, 'impression', '13', 240426865L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0752552186361563, False, 'best']
['bryantwaters', 202538759, 'impression', '15', 240402038L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0698522769935334, False, 'best']
['bryantwaters', 202538759, 'impression', '7', 240456700L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0990132246524844, False, 'best']
['bryantwaters', 202538759, 'impression', '20', 240426721L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.0122155820219914, False, 'best']
['bryantwaters', 202538759, 'impression', '3', 240453901L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.156664739242072, False, 'best']
['bryantwaters', 202538759, 'impression', '4', 240404752L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.140275850653684, False, 'best']
['bryantwaters', 202538759, 'impression', '2', 240412747L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.162431112150969, False, 'best']
['bryantwaters', 202538759, 'impression', '11', 240403072L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.08098857212605, False, 'best']
['bryantwaters', 202538759, 'impression', '5', 240469042L, datetime.datetime(2013, 5, 16, 20, 32, 46), 0.130620458025697, False, 'best']
['bryantwaters', 202538759, 'impression', '6', 240437035L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.112336437193965, False, 'best']
['bryantwaters', 202538759, 'impression', '10', 240425102L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0847028549011691, False, 'best']
['bryantwaters', 202538759, 'impression', '12', 240445144L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0789465060064922, False, 'best']
['bryantwaters', 202538759, 'impression', '16', 240406232L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0694959785727337, False, 'best']
['bryantwaters', 202538759, 'impression', '11', 240403072L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.08098857212605, False, 'best']
['bryantwaters', 202538759, 'impression', '1', 240400990L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.17812259859992, True, 'best']
['bryantwaters', 202538759, 'impression', '18', 240401169L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0404930026695809, False, 'best']
['bryantwaters', 202538759, 'impression', '9', 240402237L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0890139032414161, False, 'best']
['bryantwaters', 202538759, 'impression', '17', 240461625L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0484073848129321, False, 'best']
['bryantwaters', 202538759, 'impression', '14', 240441561L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0721712797309902, False, 'best']
['bryantwaters', 202538759, 'impression', '8', 240433422L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0954261662772324, False, 'best']
['bryantwaters', 202538759, 'impression', '2', 240412747L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.162431112150969, False, 'best']
['bryantwaters', 202538759, 'impression', '4', 240404752L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.140275850653684, False, 'best']
['bryantwaters', 202538759, 'impression', '20', 240426721L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0122155820219914, False, 'best']
['bryantwaters', 202538759, 'impression', '3', 240453901L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.156664739242072, False, 'best']
['bryantwaters', 202538759, 'impression', '7', 240456700L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0990132246524844, False, 'best']
['bryantwaters', 202538759, 'impression', '15', 240402038L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0698522769935334, False, 'best']
['bryantwaters', 202538759, 'impression', '13', 240426865L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0752552186361563, False, 'best']
['bryantwaters', 202538759, 'impression', '19', 240428422L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.0172566339756772, False, 'best']
['bryantwaters', 202538759, 'impression', '5', 240469042L, datetime.datetime(2013, 5, 16, 20, 58, 24), 0.130620458025697, False, 'best']
['bryantwaters', 202538759, 'view_full_application_via_message', '1', 240400990L, datetime.datetime(2013, 5, 16, 20, 58, 28), 0.17812259859992, True, 'best']

['bryantwaters', 202538759, 'impression', '9', 240402237L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0890139032414161, False, 'best']
['bryantwaters', 202538759, 'impression', '1', 240400990L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.17812259859992, True, 'best']
['bryantwaters', 202538759, 'impression', '19', 240401169L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0404930026695809, False, 'best']
['bryantwaters', 202538759, 'impression', '18', 240461625L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0484073848129321, False, 'best']
['bryantwaters', 202538759, 'impression', '15', 240441561L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0721712797309902, False, 'best']
['bryantwaters', 202538759, 'impression', '8', 240433422L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0954261662772324, False, 'best']
['bryantwaters', 202538759, 'impression', '6', 240437035L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.112336437193965, False, 'best']
['bryantwaters', 202538759, 'impression', '10', 240425102L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0847028549011691, False, 'best']
['bryantwaters', 202538759, 'impression', '12', 240445144L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0789465060064922, False, 'best']
['bryantwaters', 202538759, 'impression', '17', 240406232L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0694959785727337, False, 'best']
['bryantwaters', 202538759, 'impression', '7', 240456700L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0990132246524844, False, 'best']
['bryantwaters', 202538759, 'impression', '16', 240402038L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0698522769935334, False, 'best']
['bryantwaters', 202538759, 'impression', '14', 240426865L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0752552186361563, False, 'best']
